Front,Back
"Fill in the blank: Her ______ ability to predict the weather amazed everyone. Hint: Starts with “p” and means “beyond what is normal or natural”.","preternatural preternatural (pree-ter-nach-er-uhl) adj. beyond what is normal or natural"
"Name the vocab term: v. to verbally attack v. to explode Hint: starts with “f”","fulminate synonyms: berate, condemn; blast, blow up, detonate, erupt The critics began to fulminate against the new policy. The faulty engine caused the car to fulminate on the highway."
"Fill in the blank: The scammer tried to ______ people into giving away their personal information. Hint: Starts with “g” and means “to deceive or trick”.","gull gull (guhl) v. to fool or deceive"
"Name the vocab term: n. a riddle in which words are represented by pictures Hint: starts with “r”","rebus synonyms: puzzle, enigma, visual puzzle, picture puzzle The puzzle enthusiast enjoyed solving the intricate rebus."
"Fill in the blank: His ______ speech failed to inspire the audience. Hint: Starts with “p” and means “lacking inspiration or excitement”.","pedestrian pedestrian (puh-dess-tree-uhn) adj. commonplace, trite, unremarkable"
"Name the vocab term: adj. distracted as a result of anxiety Hint: starts with “d”","distrait synonyms: preoccupied, engrossed, scatterbrained, absent-minded, unfocused She was so distrait from worry that she forgot her own appointment."
"Fill in the blank: The villain's ______ plot was foiled by the heroes. Hint: Starts with “n” and means “wicked or criminal”.","nefarious nefarious (nih-fair-ee-uhs) adj. vicious, evil"
"Name the vocab term: adj. inclined to make arguments, divisive, contentious Hint: starts with “f”","factious synonyms: conflicting, warring, belligerent, disputatious, quarrelsome The factious members of the group constantly disagreed on trivial matters."
"Fill in the blank: His ______ actions brought shame to his family. Hint: Starts with “i” and means “dishonorable or of low character”.","ignoble ignoble (ig-noh-buhl) adj. dishonorable, disgraceful"
"Name the vocab term: n. a characterizing phrase n. a disparaging word or phrase Hint: starts with “e”","epithet synonyms: nickname, title, designation, label, descriptor He earned the epithet “The Brave” after his courageous deeds. The politician was hurt by the epithet hurled at him by the crowd."
"Fill in the blank: The ______ music helped calm her after a stressful day. Hint: Starts with “a” and means “harmless or inoffensive”.","anodyne anodyne (ann-uh-dahyn) adj. pain-relieving, soothing; bland n. a distress reliever"
"Name the vocab term: adj. uninteresting, dull adj. immature adj. lacking in nutrition Hint: starts with “j”","jejune synonyms: empty, banal, childlike, sophomoric, insipid His jejune explanation failed to capture the students' attention. The jejune behavior of the children disrupted the event. The jejune diet left her feeling weak and tired."
"Fill in the blank: His ______ tone helped resolve the conflict between the two sides. Hint: Starts with “c” and means “intended to make peace”.","conciliatory conciliatory (kuhn-sill-ee-uh-tawr-ee) adj. agreeable; overcoming distrust or hostility"
"Name the vocab term: n. a dispersion of people from their homeland (esp. Jews) n. a community of dispersed people Hint: starts with “d”","diaspora synonyms: dispersion, exodus, scattering, migration The diaspora of refugees from the war-torn country was a tragic event. The Jewish diaspora has a rich cultural history."
"Fill in the blank: The boat began to ______ in the stormy seas, causing panic among the passengers. Hint: Starts with “w” and means “a confused mass or jumble”.","welter welter (well-ter) v. to writhe, toss about; to be in turmoil"
"Define: ruminate (roo-muh-neyt)","v. to meditate at length; to muse v. to chew cud The monk ruminated over the moral dilemma. Root: rumin (from Latin ruminare, meaning “to chew over again”)"
"Define: maudlin (mawd-lin)","adj. overly sentimental The teacher insisted on taking a maudlin picture with each one of her students every year. Root: maud (from Mary Magdalene, associated with tearful sentimentality)"
"Define: convoke (kuhn-vohk)","v. to convene or call together He convoked a meeting of the nation's top CEOs and Vice Presidents. Prefix: con- (from Latin, meaning “together”); Root: vok (from Latin vocare, meaning “to call”)"
"Define: effluence (eff-loo-uhns)","n. the act of flowing out n. something that flows out An effluence of people from the stadium crowded the streets. Prefix: ef- (variant of ex-, meaning “out”); Root: flu (from Latin fluere, meaning “to flow”)"
"Define: eschew (ess-choo)","v. to shun or avoid Most vegetarians eschew fur coats as well as consuming meats. Root: schew (from Old High German sciuhen, meaning “to avoid”)"
"Define: ambulatory (am-byuh-luh-tawr-ee)","adj. of walking, adapted for walking The ambulatory excursion drew few people because of the poor weather. Root: ambul (from Latin ambulare, meaning “to walk”); Suffix: -ory (forming adjectives, meaning “relating to”)"
"Define: rigmarole (rig-muh-rohl)","n. an extremely tedious and complicated process The rigmarole I am subjected to every time I visit the DMV would be funny were it not so depressing. Root: rig (from Middle English ragman roll, a long list or catalogue)"
"Define: forswear (fuhr-swair)","v. to renounce, disavow, repudiate The young nation forswore entangling alliances. Prefix: for- (from Old English, meaning “completely”); Root: swear (from Old English swerian, meaning “to take an oath”)"
"Define: gastronomy (gahss-trawn-uh-mee)","n. the science of good eating or cooking n. cooking particular to a region Jim was studying Japanese gastronomy along with his mandatory classes. Root: gastro (from Greek gastēr, meaning “stomach”); Suffix: -nomy (from Greek nomia, meaning “law or custom”)"
"Define: jibe (jahyb)","v. to be in accord; to agree; to suddenly shift from one side to another His story jibed with mine. Root: jibe (possibly from Dutch gijpen, meaning “to shift a sail”)"
"Define: stentorian (sten-tawr-ee-uhn)","adj. extremely loud and powerful Even without a microphone, the principal's stentorian voice filled the auditorium and commanded everyone's attention. Root: Stentor (from Greek mythology, a herald known for his loud voice)"
"Define: lachrymose (lak-rih-mowss)","adj. sad, tearful The opera's lachrymose final scene has tested the dramatic range of generations of sopranos. Root: lachrym (from Latin lacrima, meaning “tear”); Suffix: -ose (forming adjectives, meaning “full of”)"
"Define: abrogate (ab-ruh-geyt)","v. to abolish or annul by authority The court ruling abrogated his rights to any profits. Prefix: ab- (from Latin, meaning “away”); Root: rog (from Latin rogare, meaning “to ask”)"
"Define: bemuse (bih-myooz)","v. to puzzle or confuse The bemused expression on his face was priceless. Prefix: be- (from Old English, meaning “thoroughly”); Root: muse (from Latin musare, meaning “to ponder”)"
"Define: expurgate (ek-spurr-gehyt)","v. to censor, esp. obscenity The expurgated version of the album had a more family-friendly rating. Prefix: ex- (from Latin, meaning “out”); Root: purg (from Latin purgare, meaning “to cleanse”)"
"Define: tumid (too-mid)","adj. swollen The river banks were tumid from the spring rain. Root: tum (from Latin tumere, meaning “to swell”)"
"Define: natty (nah-tee)","adj. trim, neat, or tidy She was a natty dresser, with never a seam out of place. Root: nat (possibly from English neat, meaning “tidy”)"
"Define: sentinel (sehn-tih-null)","n. one who keeps guard v. to watch over The sentinel at the city gates watched over the city. Root: sent (from Latin sentire, meaning “to feel”)"
"Define: winsome (win-suhm)","adj. charming, happy, engaging Mei's winsome smile won her many friends. Root: win (from Old English wynn, meaning “joy”); Suffix: -some (forming adjectives, meaning “characterized by”)"
"Define: reconnoiter (ree-kuh-noy-ter)","v. to engage in reconnaissance, to make a preliminary inspection of We had sent him to reconnoiter the party before we arrived, in case it turned out to be a dud. Prefix: re- (from Latin, meaning “again”); Root: connoiter (from Old French connoistre, meaning “to know”)"
"Define: malfeasance (mal-fee-zuhnss)","n. misconduct or wrongdoing (esp. by a public official) Joel was studying malfeasance in the Panamanian government. Prefix: mal- (from Latin, meaning “bad”); Root: feas (from Latin facere, meaning “to do”)"
"Define: halcyon (hal-see-uhn)","adj. calm and peaceful, prosperous The halcyon days of summer are here again. Root: halcy (from Greek halkyon, a mythical bird associated with calm seas)"
"Define: plenipotentiary (plen-ih-poh-ten-shee-air-ee)","adj. representing a country or other body with complete authority to act as its proxy The ambassador is plenipotentiary; he does not need to consult with his home country to sign accords on its behalf. Root: pleni (from Latin plenus, meaning “full”); Root: potent (from Latin potens, meaning “powerful”)"
"Define: filch (filch)","v. to steal, esp. something unimportant The girl was caught filching chalk from all the classrooms but would not say why she had done it. Root: filch (from Middle English, meaning “to steal”)"
"Define: fastness (fast-niss)","n. a safe, fortified place The guerrillas retreated to their mountain fastness in order to regroup and consolidate their battered forces. Root: fast (from Old English fæst, meaning “firm”); Suffix: -ness (forming nouns, meaning “state or quality”)"
"Define: bellwether (bell-weth-ur)","n. an indicator, esp. one that predicts future outcomes The Midwest is considered a bellwether for the political tide of the nation, since trends often become apparent there sooner than in other states. Root: bell (from Middle English belle, meaning “bell”); Root: wether (from Old English wether, meaning “castrated ram”)"
"Define: camarilla (kam-uh-rill-uh)","n. a group of counselors to a leader, esp. ones who plot or connive The dictator was obsessed with the possibility of foreign attack, but it was his own disgruntled camarilla of aides who did him in in the end. Root: camar (from Spanish cámara, meaning “chamber”)"
"Define: interregnum (in-tur-reg-num)","n. the interval of time between the reign of a ruler and that of his successor; the time between two leaders' tenures The interregnum that followed the king's deposition ended only when one of the warlords grew strong enough to control the entire nation. Prefix: inter- (from Latin, meaning “between”); Root: reg (from Latin regnum, meaning “reign”)"
"Define: malinger (muh-ling-gur)","v. to pretend to be sick Souheila was known to malinger on test days, so her father insisted on taking her temperature before he would let her stay home from school. Root: mal (from French mal, meaning “bad”); Root: linger (from Old English lengan, meaning “to delay”)"
"Name the vocab term: v. to meditate at length; to muse v. to chew cud Hint: starts with “r”","ruminate synonyms: think, ponder; chew, gnaw; contemplate, reflect He liked to ruminate on life's mysteries during his evening walks. The cows ruminate peacefully in the field after grazing."
"Fill in the blank: After a few drinks, he became ______ and started sharing old stories. Hint: Starts with “m” and means “overly sentimental”.","maudlin maudlin (mawd-lin) adj. overly sentimental"
"Name the vocab term: v. to convene or call together Hint: starts with “c”","convoke synonyms: assemble, gather, summon; mobilize, convene The board decided to convoke an emergency meeting to address the issue."
"Fill in the blank: The ______ of water from the dam was carefully regulated. Hint: Starts with “e” and means “something that flows out”.","effluence effluence (eff-loo-uhns) n. the act of flowing out n. something that flows out"
"Name the vocab term: v. to shun or avoid Hint: starts with “e”","eschew synonyms: abandon, abstain; evade, steer clear of He made a conscious effort to eschew unhealthy foods."
"Fill in the blank: After surgery, she was finally ______ and could move around the ward. Hint: Starts with “a” and means “able to walk”.","ambulatory ambulatory (am-byuh-luh-tawr-ee) adj. of walking, adapted for walking"
"Name the vocab term: n. an extremely tedious and complicated process Hint: starts with “r”","rigmarole synonyms: red tape, tedium; hassle, nonsense The rigmarole of applying for the visa was exhausting and time-consuming."
"Fill in the blank: He decided to ______ his bad habits and start fresh. Hint: Starts with “f” and means “to renounce or give up”.","forswear forswear (fuhr-swair) v. to renounce, disavow, repudiate"
"Name the vocab term: n. the science of good eating or cooking n. cooking particular to a region Hint: starts with “g”","gastronomy synonyms: cooking, culinary science; cuisine, gastronomy She studied gastronomy in Paris to perfect her culinary skills. Italian gastronomy is known for its emphasis on fresh ingredients and simple flavors."
"Fill in the blank: The boat began to ______, and the crew adjusted the sails accordingly. Hint: Starts with “j” and means “to be in agreement”.","jibe jibe (jahyb) v. to be in accord; to agree; to suddenly shift from one side to another"
"Name the vocab term: adj. extremely loud and powerful Hint: starts with “s”","stentorian synonyms: blaring, booming; thunderous, deafening The sergeant's stentorian voice could be heard across the training ground."
"Fill in the blank: The ______ movie left the entire audience in tears. Hint: Starts with “l” and means “tearful or tending to cry”.","lachrymose lachrymose (lak-rih-mowss) adj. sad, tearful"
"Name the vocab term: v. to abolish or annul by authority Hint: starts with “a”","abrogate synonyms: cancel, dissolve, negate; repeal, invalidate The government decided to abrogate the outdated law."
"Fill in the blank: The strange behavior of the character in the film ______ the audience. Hint: Starts with “b” and means “to confuse or bewilder”.","bemused bemuse (bih-myooz) v. to puzzle or confuse"
"Name the vocab term: v. to censor, esp. obscenity Hint: starts with “e”","expurgate synonyms: clean up, screen, whitewash; sanitize, purge The editor had to expurgate several inappropriate scenes from the book before publication."
"Fill in the blank: His ankle was ______ after twisting it during the hike. Hint: Starts with “t” and means “swollen”.","tumid tumid (too-mid) adj. swollen"
"Name the vocab term: adj. trim, neat, or tidy Hint: starts with “n”","natty synonyms: classy, clean; stylish, dapper He arrived at the event looking natty in a perfectly tailored suit."
"Fill in the blank: The ______ stood watch at the entrance of the castle. Hint: Starts with “s” and means “a guard or watchman”.","sentinel sentinel (sehn-tih-null) n. one who keeps guard v. to watch over"
"Name the vocab term: adj. charming, happy, engaging Hint: starts with “w”","winsome synonyms: alluring, appealing, pleasing; delightful, captivating Her winsome smile instantly put everyone at ease."
"Fill in the blank: The scouts were sent ahead to ______ the area before the main force arrived. Hint: Starts with “r” and means “to scout out or inspect in advance”.","reconnoiter reconnoiter (ree-kuh-noy-ter) v. to engage in reconnaissance, to make a preliminary inspection of"
"Name the vocab term: n. misconduct or wrongdoing (esp. by a public official) Hint: starts with “m”","malfeasance synonyms: impropriety, delinquency; misconduct, wrongdoing The mayor was accused of malfeasance in the handling of public funds."
"Fill in the blank: The ______ days of summer were filled with relaxation and joy. Hint: Starts with “h” and means “calm, peaceful, and prosperous”.","halcyon halcyon (hal-see-uhn) adj. calm and peaceful, prosperous"
"Name the vocab term: adj. representing a country or other body with complete authority to act as its proxy Hint: starts with “p”","plenipotentiary synonyms: authoritative, competent to represent; empowered, authorized The plenipotentiary ambassador negotiated the terms of the treaty."
"Fill in the blank: He was caught trying to ______ a candy bar from the store. Hint: Starts with “f” and means “to steal something small”.","filch filch (filch) v. to steal, esp. something unimportant"
"Name the vocab term: n. a safe, fortified place Hint: starts with “f”","fastness synonyms: stronghold, bunker; fortress, citadel The rebels retreated to their mountain fastness after the attack."
"Fill in the blank: The rising prices in real estate are often seen as a ______ for economic trends. Hint: Starts with “b” and means “a leader or indicator of trends”.","bellwether bellwether (bell-weth-ur) n. an indicator, esp. one that predicts future outcomes"
"Name the vocab term: n. a group of counselors to a leader, esp. ones who plot or connive Hint: starts with “c”","camarilla synonyms: conspiracy, cabal; faction, clique The king's camarilla controlled many of the decisions behind the scenes."
"Fill in the blank: During the ______, the country faced uncertainty and political turmoil. Hint: Starts with “i” and means “a pause between reigns or governments”.","interregnum interregnum (in-tur-reg-num) n. the interval of time between the reign of a ruler and that of his successor; the time between two leaders' tenures"
"Name the vocab term: v. to pretend to be sick Hint: starts with “m”","malinger synonyms: evade, play hooky; shirk, dodge He tried to malinger to avoid going to work on Monday."
