Front,Back
"Fill in the blank: His speech was filled with insightful ________ that resonated with the audience. Hint: Starts with “a” and means “tersely phrased truths”.","aphorisms aphorism (af-uh-riz-uhm) n. a tersely phrased truth or opinion; adage; epigram n. a brief statement of principle; or general truth"
"Name the vocab term: v. to steal Hint: starts with “p”","purloin synonyms: burglarize, cheat, swindle, filch, pilfer, take The thief managed to purloin several valuable paintings from the gallery."
"Fill in the blank: The professor's ________ lecture was difficult for those unfamiliar with the subject. Hint: Starts with “e” and means “intended for a particular group”.","esoteric esoteric (es-uh-ter-ik) adj. intended for or understood only by a particular group adj. not publicly disclosed; confidential"
"Name the vocab term: n. relief during a time of struggle Hint: starts with “s”","succor synonyms: aid, comfort, refuge, support, assistance, help The refugees sought succor in neighboring countries after fleeing the conflict."
"Fill in the blank: His ________ talent allowed him to excel in both acting and directing. Hint: Starts with “p” and means “able to change easily”.","protean protean (proh-tee-uhn) adj. readily assuming different forms or characters, versatile"
"Name the vocab term: adj. insensitive; having no feeling Hint: starts with “c”","callous synonyms: soulless, cruel, heartless, unfeeling, unsympathetic Her callous remarks about the disaster shocked everyone."
"Fill in the blank: The government decided to ________ the use of certain chemicals due to their harmful effects. Hint: Starts with “p” and means “to forbid or condemn”.","proscribe proscribe (proh-skrahyb) v. to prohibit or forbid as harmful or unlawful"
"Name the vocab term: n. an outcome or solution to a complex series of events Hint: starts with “d”","denouement synonyms: finale, final achievement, resolution, conclusion, outcome The denouement of the mystery novel tied together all the loose ends."
"Fill in the blank: Her ________ attitude made her unpopular among her colleagues. Hint: Starts with “s” and means “arrogantly disdainful”.","supercilious supercilious (soo-per-sill-ee-uhs) adj. arrogant, overbearing; displaying condescending superiority over someone else"
"Name the vocab term: n. discussion between enemies, often to prepare terms of surrender Hint: starts with “p”","parley synonyms: conference, mediation, negotiation, dialogue, discussion The generals held a parley to negotiate the terms of the ceasefire."
"Fill in the blank: He became ________ when he discovered the mistake in the report. Hint: Starts with “a” and means “overcome with extreme anger”.","apoplectic apoplectic (ap-uh-plek-tik) adj. furious; enraged; overcome with anger adj. relating to a stroke"
"Name the vocab term: v. to say with a coy smile; to smirk Hint: starts with “s”","simper synonyms: grin, leer, sneer, smirk, smirk, smile coyly She simpered at the compliment, clearly enjoying the attention."
"Fill in the blank: The laws against ________ were finally repealed in the 20th century. Hint: Starts with “m” and means “interbreeding of different racial groups”.","miscegenation miscegenation (mih-sedj-uh-ney-shuhn) n. the interbreeding of different races n. any mixture or hybrid"
"Define: androgynous (an-drodj-uh-nuhs)","adj. not distinguishable between male and female The name Sam is androgynous because it could stand for Samantha or Samuel. Prefix: andro- (from Greek anēr, meaning “man”); Suffix: -gynous (from Greek gynē, meaning “woman”)"
"Define: covey (kuhv-ee)","n. a family of partridges n. a small group Outside the classroom was a covey of giggling schoolgirls. Root: cov- (from Middle English covee, meaning “brood of birds”)"
"Define: supine (adj. soo-pahyn)","adj. inactive, lying on one's back apathetically adj. morally slack The officials exhibited a supine acceptance of corruption. Root: supin- (from Latin supinus, meaning “lying on the back”)"
"Define: cozen (kuhz-uhn)","v. to cheat, beguile, or deceive The corrupt televangelist cozened money from viewers by lying about charitable intentions. Root: coz- (from Italian cozzonare, meaning “to cheat”)"
"Define: limpid (lim-pid)","adj. calm, untroubled, serene adj. transparent, clear (as of water, air, or crystal) The family flew a kite down by the limpid blue pond. Root: limp- (from Latin limpidus, meaning “clear”)"
"Define: refulgent (rih-fuhl-juhnt)","adj. shining radiantly; brilliant The refulgent palace seemed out of place amid the poverty of the villages surrounding it. Prefix: re- (from Latin, meaning “again” or “back”); Root: fulg- (from Latin fulgere, meaning “to shine”)"
"Define: phlegmatic (fleg-mat-ik)","adj. hard to excite, calm, sluggish adj. unemotional, stoic Pete's phlegmatic response was difficult for his friends to read. Root: phlegm- (from Greek phlegma, meaning “inflammation” or “phlegm”)"
"Define: attenuate (uh-ten-yoo-eyt)","v. to weaken or reduce in force or value v. to make small or fine The medicine attenuated the fever's effect. Prefix: at- (from Latin ad-, meaning “to”); Root: tenu- (from Latin tenuis, meaning “thin”)"
"Define: disingenuous (diss-in-djen-yoo-uhs)","adj. lacking in sincerity or candor When the oil prospector's promises were discovered to be disingenuous, he was run out of town. Prefix: dis- (from Latin, meaning “not”); Root: ingenu- (from Latin ingenuus, meaning “natural” or “honest”)"
"Define: epistle (uh-piss-uhl)","n. a written message, usually a formal letter The epistle was hand-delivered by a confidant in order to avoid interception. Root: epist- (from Greek epistole, meaning “letter”)"
"Define: factitious (fak-tish-uhs)","adj. produced artificially; not natural adj. fake The factitious laughter of insincere talk show hosts makes my skin crawl. Root: fact- (from Latin facere, meaning “to make”); Suffix: -itious (indicating a tendency or quality)"
"Define: pied (pahyd)","adj. containing patches of two or more colors, usually in blotches The jester's pied coat was stitched together from scraps of blue and red fabric. Root: pie- (from Middle English pied, meaning “having patches of two or more colors”)"
"Define: militate (mill-ih-teyt)","v. to have strong influence or effect; to operate against or sometimes in favor of something. The volatility of the situation militated against any rash action. Where have the universities been militating for lower tax rates at the top? Root: milit- (from Latin militare, meaning “to serve as a soldier”)"
"Define: Stygian (stidj-ee-uhn)","adj. dark, gloomy, dismal adj. infernal, hellish The stygian murk of the cave made it difficult to navigate. Root: Styg- (from Greek Styx, meaning “the river Styx”)"
"Define: gainsay (geyn-sey)","v. to declare false v. to deny v. to contradict or claim exception to Evidence and witness testimony all gainsaid the defendant's claims. Prefix: gain- (from Old English gean-, meaning “against”); Root: say (from Old English secgan, meaning “to say”)"
"Define: palliate (pal-ee-eyt)","v. to make something appear less serious; to mitigate; to alleviate The student tried to palliate the significance of his plagiarism. Root: palli- (from Latin palliare, meaning “to cloak”); Suffix: -ate (used to form verbs)"
"Define: nostrum (nos-truhm)","n. cure-all, questionable remedy, or a placebo An ad on television depicted a nostrum that claims to cure hangovers. Root: nostr- (from Latin nostrum, meaning “our” or “our own”)"
"Define: obstreperous (uhb-strep-er-uhs)","adj. unruly, noisy, loudly stubborn The obstreperous two-year-old cried the entire train ride. Prefix: ob- (from Latin, meaning “against”); Root: streper- (from Latin strepere, meaning “to make a noise”)"
"Define: precocious (prih-koh-shuhs)","adj. unusually quick development or maturation, especially in intelligence The child's precocious understanding of calculus stunned his teachers. Prefix: pre- (from Latin, meaning “before”); Root: coc- (from Latin coquere, meaning “to cook” or “to ripen”)"
"Define: regale (rih-geyl)","v. to entertain; to supply lavishly n. a choice piece especially of food Steve regaled his guests with exciting tales. Root: regal- (from Old French regaler, meaning “to entertain or feast”)"
"Name the vocab term: adj. hermaphroditic adj. not distinguishable between male and female Hint: starts with “a”","androgynous synonyms: cross-sexual, unisexual, trans-sexual, gender-neutral, ambiguous The creature in the myth was portrayed as androgynous, embodying both male and female traits. The androgynous fashion trend blurred traditional gender lines in clothing."
"Fill in the blank: We spotted a ________ of partridges in the field during our hike. Hint: Starts with “c” and means “a small flock or group”.","covey covey (kuhv-ee) n. a family of partridges n. a small group"
"Name the vocab term: adj. inactive, lying on one's back apathetically adj. morally slack Hint: starts with “s”","supine synonyms: lying down, flat; apathetic, lazy, prostrate, recumbent He lay supine on the couch, unwilling to do anything productive. The government's supine attitude towards corruption allowed it to flourish."
"Fill in the blank: The con artist ________ people into giving him their life savings. Hint: Starts with “c” and means “to deceive or trick”.","cozened cozen (kuhz-uhn) v. to cheat, beguile, or deceive"
"Name the vocab term: adj. calm, untroubled, serene adj. transparent, clear (as of water, air, or crystal) Hint: starts with “l”","limpid synonyms: tranquil, peaceful; glassy, translucent, clear, unclouded, bright The limpid expression on her face showed she wasn't worried at all. The limpid water of the lake made it easy to see the fish swimming below."
"Fill in the blank: The ________ glow of the setting sun bathed the landscape in golden light. Hint: Starts with “r” and means “shining brightly”.","refulgent refulgent (rih-fuhl-juhnt) adj. shining radiantly; brilliant"
"Name the vocab term: adj. hard to excite, calm, sluggish adj. unemotional, stoic Hint: starts with “p”","phlegmatic synonyms: apathetic, dispassionate, lethargic, unemotional, placid, indifferent His phlegmatic response to the exciting news surprised everyone. The phlegmatic soldier remained composed even in the face of danger."
"Fill in the blank: The long drought ________ the strength of the river's current. Hint: Starts with “a” and means “weakened or reduced”.","attenuated attenuate (uh-ten-yoo-eyt) v. to weaken or reduce in force or value v. to make small or fine"
"Name the vocab term: adj. lacking in sincerity or candor Hint: starts with “d”","disingenuous synonyms: dishonest, crooked, deceitful, duplicitous, insincere His disingenuous apology did little to mend the rift between them."
"Fill in the blank: The scholar wrote an ________ to his colleagues, detailing his latest findings. Hint: Starts with “e” and means “a formal letter”.","epistle epistle (uh-piss-uhl) n. a written message, usually a formal letter"
"Name the vocab term: adj. produced artificially; not natural adj. fake Hint: starts with “f”","factitious synonyms: artificial, false, sham, manufactured, synthetic, spurious The diamonds in the necklace were factitious but still looked stunning. His factitious enthusiasm at the event was apparent to everyone."
"Fill in the blank: The ________ horse stood out with its distinct black and white markings. Hint: Starts with “p” and means “having patches of different colors”.","pied pied (pahyd) adj. containing patches of two or more colors, usually in blotches"
"Name the vocab term: v. to have substantial weight or bearing on; usually to argue against something or make it less likely. Hint: starts with “m”","militate synonyms: weigh, important, influential, affect, contribute, determine The evidence presented in the trial will militate heavily against the defendant."
"Fill in the blank: The forest at night had a ________ atmosphere, making it feel eerie and foreboding. Hint: Starts with “s” and means “dark, gloomy, or hellish”.","stygian Stygian (stidj-ee-uhn) adj. dark, gloomy, dismal adj. infernal, hellish"
"Name the vocab term: v. to declare false v. to deny v. to contradict or claim exception to Hint: starts with “g”","gainsay synonyms: deny, disaffirm, disprove, contradict, refute, challenge No one could gainsay the facts presented in the report. It was difficult to gainsay her argument given the strong data backing it up."
"Fill in the blank: The doctor prescribed medication to ________ the symptoms of the disease. Hint: Starts with “p” and means “to ease without curing”.","palliate palliate (pal-ee-eyt) v. to make something appear less serious; to mitigate; to alleviate"
"Name the vocab term: n. cure-all, questionable remedy, or a placebo Hint: starts with “n”","nostrum synonyms: elixir, quick fix, aid, remedy, potion, fix The herbalist claimed to have a nostrum for every ailment, but none of them worked."
"Fill in the blank: The ________ crowd refused to leave, even after the event was over. Hint: Starts with “o” and means “noisily defiant or unruly”.","obstreperous obstreperous (uhb-strep-er-uhs) adj. unruly, noisy, loudly stubborn"
"Name the vocab term: adj. unusually quick development or maturation, especially in intelligence Hint: starts with “p”","precocious synonyms: advanced, developed, quick, intelligent, mature, ahead of one's years, gifted The precocious child was reading at a college level by the age of 10."
"Fill in the blank: He ________ the guests with stories of his adventures abroad. Hint: Starts with “r” and means “entertained or delighted”.","regaled regale (rih-geyl) v. to entertain; to feast"
"Define: ambit (am-bit)","n. the extent, boundary or scope of something Though I find her actions reprehensible, she was acting within the ambit of the law and so my hands are tied. Root: ambi (from Latin ambitus, meaning “going around”)"
"Define: apostate (uh-poss-teyt)","n. one who abandons a belief, cause, party or religion The apostate is dealt with very harshly in many religious traditions. Prefix: apo- (from Greek, meaning “away from”)"
"Define: sophistry (sof-uh-stree)","n. fallacious reasoning; faulty, although plausible, logic The students were quickly convinced by the professor's sophistry and did not inquire further. Root: soph (from Greek sophos, meaning “wise”)"
"Define: perspicuity (purr-spih-kyoo-ih-tee)","n. clarity or perceptiveness in speech, thought, or writing The perspicuity of the writing made a complicated topic easy for all to understand. Root: spec (from Latin specere, meaning “to look”)"
"Define: enjoin (en-join)","v. to command or direct an action with authority v. to prohibit or forbid an action The captain enjoined his men to respect the local laws while on shore leave. Prefix: en- (from Latin, meaning “in” or “on”)"
"Define: fulsome (fool-suhm)","adj. offensively flattering or insincere. adj. offensive to the taste adj. generous or abundant I prefer Sara's sincere criticism to all the fulsome praise I receive from Deb. Suffix: -some (from Old English, meaning “characterized by”)"
"Define: imprecation (im-prih-key-shuhn)","n. a curse The witch cast an imprecation on the villagers. Prefix: im- (from Latin, meaning “in” or “upon”), Root: prec (from Latin precari, meaning “to pray”)"
"Define: extenuate (ik-sten-yoo-eyt)","v. to lessen the magnitude or seriousness of; to mitigate The prisoner's illness may extenuate the conditions of his captivity, but it shall not lead me to order his early release. Prefix: ex- (from Latin, meaning “out”), Root: tenu (from Latin tenuis, meaning “thin”)"
"Define: ineluctable (in-ih-luhk-tuh-buhl)","adj. certain, inevitable, unavoidable A hectic lifestyle seems to be the ineluctable product of modernity. Prefix: in- (from Latin, meaning “not”), Root: eluct (from Latin eluctari, meaning “to struggle out”)"
"Define: vitiate (vish-ee-eyt)","v. to reduce the quality of v. to corrupt The tear in the painting vitiated its overall appeal and halved its appraisal cost. Root: vit (from Latin vitium, meaning “fault” or “defect”)"
"Define: turpitude (tur-pih-tood)","n. depravity, baseness n. a vile or wicked act Because of stealing, he was dismissed on grounds of moral turpitude. Root: turp (from Latin turpis, meaning “shameful”)"
"Define: plaintive (pleyn-tiv)","adj. mournful, sorrowful, melancholy The procession was led by the plaintive strains of the bagpipe. Root: plaint (from Latin plangere, meaning “to lament”)"
"Define: pertinacious (purt-n-ey-shuhs)","adj. holding tenaciously to a belief adj. stubbornly unyielding Her pertinacious devotion to the debunked theory led her to be marginalized in the scientific community. Prefix: per- (from Latin, meaning “thoroughly”), Root: ten (from Latin tenere, meaning “to hold”)"
"Define: recreant (rek-ree-uhnt)","adj. unfaithful, disloyal to belief or principle adj. cowardly or craven n. one who is a coward, unfaithful, or disloyal The recreant knight ran from the battle. Prefix: re- (from Latin, meaning “again” or “back”), Root: cred (from Latin credere, meaning “to believe”)"
"Define: adduce (uh-doos)","v. to offer as proof in an argument Seth adduced several recent studies in support of his hypothesis. Prefix: ad- (from Latin, meaning “to”), Root: duc (from Latin ducere, meaning “to lead”)"
"Define: traduce (truh-doos)","v. to slander or speak maliciously of As a “green energy” campaigner, I distrust politicians who habitually traduce the motivations of environmentalists. Prefix: tra- (variant of trans-, from Latin, meaning “across”), Root: duc (from Latin ducere, meaning “to lead”)"
"Define: apposite (app-uh-zit)","adj. relevant, suitable, or fitting Though clever, Dmitry's pun was not apposite to the solemn occasion. Prefix: ap- (variant of ad-, from Latin, meaning “to”), Root: posit (from Latin ponere, meaning “to place”)"
"Define: discursive (diss-kurr-siv)","adj. rambling aimlessly through a wide range of subjects. The poor speaker gave a rambling, discursive speech. Prefix: dis- (from Latin, meaning “apart”), Root: cur (from Latin currere, meaning “to run”)"
"Define: avocation (av-uh-key-shuhn)","n. an extracurricular activity; a hobby My favorite avocation is playing baseball in the summertime. Prefix: a- (variant of ab-, from Latin, meaning “away from”), Root: voc (from Latin vocare, meaning “to call”)"
"Define: adumbrate (uh-duhm-breyt)","v. to foreshadow vaguely v. to produce a faint outline or resemblance of something The first volume merely adumbrates the basics of the story to be developed in the next two books. Prefix: ad- (from Latin, meaning “to”), Root: umbr (from Latin umbra, meaning “shadow”)"
"Name the vocab term: n. the extent, boundary or scope of something Hint: starts with “a”","ambit synonyms: compass, extension, range, scope, reach, limits The discussion remained within the ambit of the assigned topics for the meeting."
"Fill in the blank: The ________ was shunned by his former comrades after leaving the movement. Hint: Starts with “a” and means “one who abandons their faith or cause”.","apostate apostate (uh-poss-teyt) n. one who abandons a belief, cause, party or religion"
"Name the vocab term: n. fallacious reasoning; faulty, although plausible, logic Hint: starts with “s”","sophistry synonyms: fallacy, inconsistency, misleading argument, specious reasoning The politician's argument was nothing more than sophistry, designed to mislead the public."
"Fill in the blank: The ________ of her speech made even the most complex ideas easy to understand. Hint: Starts with “p” and means “clarity in expression”.","perspicuity perspicuity (purr-spih-kyoo-ih-tee) n. clarity or perceptiveness in speech, thought, or writing"
"Name the vocab term: v. to command or direct an action with authority v. to prohibit or forbid an action Hint: starts with “e”","enjoin synonyms: order, command; disallow, outlaw, dictate, direct, mandate The court enjoined the company to halt its illegal practices immediately. The rules enjoin students from bringing their phones to class."
"Fill in the blank: His ________ praise made everyone uncomfortable, as it felt exaggerated and fake. Hint: Starts with “f” and means “excessively flattering or abundant”.","fulsome fulsome (fool-suhm) adj. offensively flattering or insincere. adj. offensive to the taste"
"Name the vocab term: n. a curse Hint: starts with “i”","imprecation synonyms: spell, hex, malediction, anathema, curse The angry witch muttered an imprecation under her breath as she walked away."
"Fill in the blank: The lawyer tried to ________ the defendant's actions by highlighting his difficult upbringing. Hint: Starts with “e” and means “to lessen the seriousness of”.","extenuate extenuate (ik-sten-yoo-eyt) v. to lessen the magnitude or seriousness of; to mitigate"
"Name the vocab term: adj. certain, inevitable, unavoidable Hint: starts with “i”","ineluctable synonyms: inescapable, destined, inevitable, unavoidable, certain The ineluctable passage of time affects everyone, no matter their status."
"Fill in the blank: His repeated lies ________ the credibility of his testimony. Hint: Starts with “v” and means “spoiled or corrupted”.","vitiated vitiate (vish-ee-eyt) v. to reduce the quality of v. to corrupt"
"Name the vocab term: n. depravity, baseness n. a vile act Hint: starts with “t”","turpitude synonyms: depravity, baseness, wickedness, immorality, corruption The turpitude of the criminal's actions shocked the entire community. His turpitude was evident when he betrayed his own family for money."
"Fill in the blank: The ________ melody of the violin expressed a deep sense of loss. Hint: Starts with “p” and means “expressing sorrow”.","plaintive plaintive (pleyn-tiv) adj. mournful, sorrowful, melancholy"
"Name the vocab term: adj. holding tenaciously to a belief adj. stubbornly unyielding Hint: starts with “p”","pertinacious synonyms: stubbornly unyielding, tenacious, persistent, dogged, resolute The pertinacious activist refused to back down, despite the opposition. His pertinacious nature made it difficult to convince him to change his mind."
"Fill in the blank: The ________ knight abandoned his comrades in their hour of need. Hint: Starts with “r” and means “cowardly or unfaithful”.","recreant recreant (rek-ree-uhnt) adj. unfaithful, disloyal to belief or principle adj. cowardly or craven n. one who is a coward, unfaithful, or disloyal"
"Name the vocab term: v. to offer as proof in an argument Hint: starts with “a”","adduce synonyms: introduce, exhibit, cite, bring forward, present, mention The lawyer adduced several pieces of evidence to support her client's innocence."
"Fill in the blank: He was quick to ________ his rivals, spreading false rumors to damage their reputations. Hint: Starts with “t” and means “to speak maliciously or slander”.","traduce traduce (truh-doos) v. to slander or speak maliciously of"
"Name the vocab term: adj. relevant, suitable, or fitting Hint: starts with “a”","apposite synonyms: pertinent, timely, appropriate, fitting, applicable, relevant His apposite remarks during the meeting helped to clarify the situation."
"Fill in the blank: His ________ lecture covered topics ranging from philosophy to pop culture. Hint: Starts with “d” and means “rambling or wandering in speech”.","discursive discursive (diss-kurr-siv) adj. rambling aimlessly through a wide range of subjects adj. drawing conclusions based on reason (as opposed to intuition)"
"Name the vocab term: n. an extracurricular activity; a hobby Hint: starts with “a”","avocation synonyms: hobby, recreation, pastime, interest, pursuit, diversion Her avocation of painting provided a creative outlet outside of her day job."
"Fill in the blank: The author ________ the tragic ending early in the novel. Hint: Starts with “a” and means “to foreshadow or outline”.","adumbrated adumbrate (uh-duhm-breyt) v. to foreshadow vaguely v. to produce a faint outline or resemblance of something"
"Define: alchemy (al-kuh-me)","n. the medieval study of transforming lead into gold Although it was never proven possible, alchemy is in many ways related to the chemistry we study today. Prefix: al- (from Arabic, meaning “the”); Root: chem (from Greek khemia, meaning “art of transmuting metals”)"
"Define: allege (uh-ledge)","v. to state that something is true without providing proof The neighbors alleged that it was the store owner who started the fire, but it turned out that he had been out of town after speaking with him. Prefix: al- (from Latin ad-, meaning “to”); Root: leg (from Latin legare, meaning “to send” or “to bring”)"
"Define: allude (uh-lewd)","v. to refer to another concept indirectly She would occasionally allude to a summer house, though nobody knew exactly where it was. Prefix: al- (from Latin ad-, meaning “to”); Root: lud (from Latin ludere, meaning “to play”)"
"Define: altruism (al-true-iz-um)","n. selfless concern for others Many charities were formed thanks to Rajiv's altruism and generosity. Root: altr (from Latin alter, meaning “other”)"
"Define: ambivalence (am-biv-uh-lunce)","n. confused or contradicting feelings The bride's ambivalence towards the color of the roses meant the groom had to decide. Prefix: ambi- (from Latin, meaning “both”); Root: val (from Latin valere, meaning “to be strong”)"
"Define: amble (am-bul)","v. to walk slowly The old man ambled over to our table and started up a conversation. Root: ambul (from Latin ambulare, meaning “to walk”)"
"Define: ameliorate (uh-meal-yuh-rate)","v. to make better The new medicine ameliorated her condition rather quickly. Prefix: a- (from Latin ad-, meaning “to”); Root: melior (from Latin, meaning “better”)"
"Define: amenable (uh-men-ih-bull)","adj. open to suggestion or criticism adj. accountable A good manager is amenable to his employee's new ideas. Prefix: a- (from Latin ad-, meaning “to”); Root: men (from Latin minari, meaning “to threaten”)"
"Define: analgesic (ann-ul-djee-zick)","n. pain reliever After the surgery, the doctor prescribed an analgesic for her patient's leg. Prefix: an- (from Greek, meaning “without”); Root: alg (from Greek algos, meaning “pain”)"
"Define: anecdote (ann-ik-dote)","n. a story of a specific incident, used as an example or for entertainment The actor's acceptance speech included an anecdote about his first audition. Prefix: an- (from Greek, meaning “not”); Root: ecdote (from Greek ekdotos, meaning “published”)"
"Define: annul (uh-null)","v. to declare invalid The couple had their marriage annulled when it was revealed that the groom was still married to another woman. Prefix: an- (from Latin ad-, meaning “to”); Root: nul (from Latin nullus, meaning “none”)"
"Define: didactic (die-dak-tick)","adj. overly instructive, educational He may mean well, but Pat's efforts to help came across as fussy and didactic. Root: didact (from Greek didaktikos, meaning “apt at teaching”)"
"Define: diffident (diff-ih-dunt)","adj. lacking confidence; restrained or reserved Since it was her first day, Lucy ventured only diffident answers to her superiors' requests for input. Prefix: dif- (from Latin dis-, meaning “apart”); Root: fid (from Latin fidere, meaning “to trust”)"
"Define: diffuse (v. dih-fewz; adj. dih-fewss)","v. to spread out adj. widely spread, scattered adj. wordy and rambling Such a diffuse network of law enforcement will not be able to eliminate all instances of crime. Prefix: dif- (from Latin dis-, meaning “apart”); Root: fus (from Latin fundere, meaning “to pour”)"
"Define: dilapidated (dih-lap-ih-date-id)","adj. ruined, worn down The abandoned house was dilapidated from years of neglect. Prefix: di- (from Latin dis-, meaning “apart”); Root: lapid (from Latin lapis, meaning “stone”)"
"Define: dilate (die-late)","v. to widen or enlarge v. to give a long speech on a subject The eye drops dilated his pupils so the eye doctor could better examine them. Prefix: di- (from Latin dis-, meaning “apart”); Root: lat (from Latin latus, meaning “wide”)"
"Define: dilettante (dill-ih-tont)","n. a person with an interest in a topic without really commiting n. a patron of the arts The dance school accepted dilettantes as well as trained professionals. Root: dilett (from Italian dilettare, meaning “to delight”)"
"Define: dirge (durge)","n. a mournful song We heard a chorus singing a dirge as the funeral procession began. Root: dirg (from Latin dirigere, meaning “to direct”)"
