Front,Back
"Name the vocab term: adj. original and influential Hint: starts with “s”","seminal synonyms: landmark, fundamental, fertile, groundbreaking, pioneering, innovative His seminal work in physics changed the way scientists understood the universe."
"Fill in the blank: The ________ old man yelled at anyone who crossed his lawn. Hint: Starts with “c” and means “bad-tempered or argumentative”.","cantankerous cantankerous (can-tang-kurr-us) adj. difficult to handle; ill-tempered"
"Name the vocab term: adj. related to the meaning of words Hint: starts with “s”","semantic synonyms: linguistic, verbal, meaning-related, lexical, interpretive The argument boiled down to a semantic difference in how they interpreted the contract."
"Fill in the blank: The ________ edge of the knife made it easier to cut through tough materials. Hint: Starts with “s” and means “having a jagged edge”.","serrated serrate (sare-ate) adj. having toothed edges"
"Name the vocab term: v. to cut off Hint: starts with “s”","sever synonyms: carve, disconnect, break off, cut, split, detach The company had to sever ties with the contractor after the project went over budget."
"Fill in the blank: The ________ path through the mountains made for a challenging hike. Hint: Starts with “s” and means “having many curves”.","sinuous sinuous (sin-you-us) adj. twisting and winding adj. not direct"
"Name the vocab term: n. caring about others' well being Hint: starts with “s”","solicitude synonyms: consideration, watchfulness, care, concern, attentiveness Her solicitude for her elderly neighbors was evident in the way she checked on them daily."
"Fill in the blank: The workers showed ________ during the strike, united in their demands for better conditions. Hint: Starts with “s” and means “unity based on shared goals”.","solidarity solidarity (sol-ih-dare-ih-tee) n. a feeling of camaraderie with others due to shared goals"
"Define: soluble (sol-yuh-bull)","adj. capable of being dissolved in a liquid adj. capable of being solved Certain medicines are soluble in water so they can be taken with ease. Root: solv (from Latin solvere, meaning “to loosen” or “to dissolve”); Suffix: -able (indicating capability or suitability)"
"Define: solvent (sol-vunt)","adj. able to meet financial obligations n. a substance that can dissolve other substances To remain solvent, the business was forced to sell its overseas operations. Root: solv (from Latin solvere, meaning “to loosen” or “to dissolve”); Suffix: -ent (indicating an agent or something performing an action)"
"Define: soporific (sop-uh-riff-ik)","adj. able to cause sleepiness n. a substance that causes sleepiness Bill's new cold medication has soporific side effects that interfere with his ability to drive. Root: sopor (from Latin sopor, meaning “deep sleep”); Suffix: -ific (from Latin -ficus, meaning “making” or “causing”)"
"Define: emulate (em-yuh-lehyt)","v. to try to imitate or exceed another's actions Nancy wanted to emulate her older sister and so began to study more often. Root: emul (from Latin aemulus, meaning “rivaling” or “imitating”); Suffix: -ate (used to form verbs)"
"Define: enamor (ih-nam-er)","v. to make infatuated; to cause to love He was so enamored of her that he thought about her every day. Prefix: en- (from Latin in-, meaning “in” or “into”); Root: amor (from Latin amor, meaning “love”)"
"Define: endemic (in-dem-ik)","adj. originating in, native to, particular to There are some deadly diseases that are endemic to the tropics. Prefix: en- (from Greek en-, meaning “in”); Root: dem (from Greek demos, meaning “people”); Suffix: -ic (forming adjectives)"
"Define: endow (in-dow)","v. to give (esp. an inheritance or genetic trait) Christine's mother endowed her with beautiful green eyes. Prefix: en- (from Old French en-, meaning “in” or “into”); Root: dow (from Old English dōn, meaning “to give”)"
"Define: dour (doo-er)","adj. harsh; gloomy, forbidding adj. stern, humorless The old headmaster never had anything but a dour expression to offer. Root: dour (from Latin durus, meaning “hard” or “stern”)"
"Define: enervate (in-er-vehyt)","v. to make weaker The heat enervated the soccer players' strength with each passing minute, and by halftime most were in no condition to continue playing. Prefix: e- (from Latin ex-, meaning “out of”); Root: nerv (from Latin nervus, meaning “sinew” or “nerve”); Suffix: -ate (used to form verbs)"
"Define: insouciant (in-soo-see-uhnt)","adj. unconcerned, nonchalant, lighthearted Michael's insouciant attitude towards schoolwork led to poor test grades. Prefix: in- (from Latin in-, meaning “not”); Root: souci (from French souci, meaning “care” or “worry”); Suffix: -ant (forming adjectives)"
"Define: evince (ih-vins)","v. to clearly prove something, to indicate Her choice not to enter into an argument with him evinced her maturity. Prefix: e- (from Latin ex-, meaning “out of”); Root: vinc (from Latin vincere, meaning “to conquer”)"
"Define: enfranchise (in-fran-chahyz)","v. to give rights of citizenship, esp. the right to vote When women were finally enfranchised, spontaneous celebrations occurred throughout the country. Prefix: en- (from Latin in-, meaning “in” or “into”); Root: franchise (from Old French franc, meaning “free”)"
"Define: filigree (fil-ih-gree)","n. an ornamental work, esp. delicate and lacelike v. to adorn The wine glass was filigreed with a delicate pattern of grape vines. Root: fil (from Latin filum, meaning “thread”); Root: grée (from Italian grano, meaning “grain”)"
"Define: engender (in-djen-dur)","v. to cause, to lead to The poor ventilation in the factory engendered health problems amongst the workers. Prefix: en- (from Latin in-, meaning “in” or “into”); Root: gender (from Latin generare, meaning “to produce”)"
"Define: apocryphal (uh-pok-ruh-fuhl)","adj. of dubious origin; of doubtful authenticity I believe all stories of alien abduction are apocryphal. Prefix: apo- (from Greek apo-, meaning “away” or “off”); Root: cryph (from Greek kryptein, meaning “to hide”); Suffix: -al (forming adjectives)"
"Define: enmity (en-mih-tee)","n. strong mutual hatred Great enmity has existed between the two tribes for centuries, leading to untold bloodshed. Root: enm (from Latin inimicus, meaning “enemy”); Suffix: -ity (forming nouns)"
"Define: aesthete (es-theet)","n. one with artistic sensibilities The aesthete was able to knowledgeably interpret the painting. Root: aesth (from Greek aisthesis, meaning “perception” or “sensation”)"
"Define: estimable (es-tuh-muh-buhl)","adj. formidable, worthy The team knew within the first few minutes that they faced an estimable opponent. Root: estim (from Latin aestimare, meaning “to value” or “to assess”); Suffix: -able (indicating capability or suitability)"
"Define: revile (ruh-vahyl)","v. to criticize with harsh or abusive language Film critics reviled the studio for gutting the director's artistic vision and replacing it with meaningless action sequences. Prefix: re- (from Latin re-, meaning “again” or “back”); Root: vile (from Latin vilis, meaning “cheap” or “base”)"
"Define: indefatigable (in-duh-fat-ih-guh-buhl)","adj. incapable of becoming exhausted; tireless; dogged The marathon runner was seemingly indefatigable, keeping up his brisk pace while competitors fell behind one after the other. Prefix: in- (from Latin in-, meaning “not”); Root: defatig (from Latin defatigare, meaning “to tire out”); Suffix: -able (indicating capability or suitability)"
"Name the vocab term: adj. capable of being dissolved in a liquid adj. capable of being solved Hint: starts with “s”","soluble synonyms: dispersable, dissolvable; solvable, liquid, mixable, meltable The sugar is soluble in water."
"Fill in the blank: The company is ________ after restructuring. Hint: Starts with “s” and means “able to dissolve substances or pay debts”.","solvent solvent (sol-vunt) adj. able to meet financial obligations n. a substance that can dissolve other substances within itself"
"Name the vocab term: adj. able to cause sleepiness n. a substance that causes sleepiness Hint: starts with “s”","soporific synonyms: anesthetic, narcotic, sedative, sleep-inducing, tranquilizing, calming The lecture was soporific. The medication had a soporific effect."
"Fill in the blank: She tries to ________ her mentor's success. Hint: Starts with “e” and means “to imitate in order to equal or excel”.","emulate emulate (em-yuh-lehyt) v. to try to imitate or exceed another's actions"
"Name the vocab term: v. to make infatuated; to cause to love Hint: starts with “e”","enamor synonyms: fascinate, captivate, infatuate, allure, enchant He was enamored with her charm."
"Fill in the blank: This species is ________ to the island. Hint: Starts with “e” and means “native or restricted to an area”.","endemic endemic (in-dem-ik) adj. originating in, native to, particular to"
"Name the vocab term: v. to give (esp. an inheritance or genetic trait) Hint: starts with “e”","endow synonyms: provide, impart, bestow, grant, furnish Her grandmother endowed her with a trust fund."
"Fill in the blank: His ________ demeanor intimidated the staff. Hint: Starts with “d” and means “stern and gloomy”.","dour dour (doo-er) adj. harsh; gloomy, forbidding adj. stern, humorless"
"Name the vocab term: v. to make weaker Hint: starts with “e”","enervate synonyms: tire, exhaust, debilitate, sap, weaken The heat enervated the athletes."
"Fill in the blank: Her ________ attitude was refreshing. Hint: Starts with “i” and means “carefree and unconcerned”.","insouciant insouciant (in-soo-see-uhnt) adj. unconcerned, nonchalant, lighthearted"
"Name the vocab term: v. to clearly prove something, to indicate Hint: starts with “e”","evince synonyms: declare, demonstrate, reveal, show, manifest He evinced great interest in the project."
"Fill in the blank: Women were ________ in the early 20th century. Hint: Starts with “e” and means “given the right to vote”.","enfranchised enfranchise (in-fran-chahyz) v. to give rights of citizenship, esp. the right to vote"
"Name the vocab term: n. an ornamental work, esp. delicate and lacelike v. to adorn Hint: starts with “f”","filigree synonyms: decoration, ornamentation; decorate, embellishment, lacework The jewelry was adorned with gold filigree. She filigreed the edges of her project."
"Fill in the blank: The policy ________ debate. Hint: Starts with “e” and means “caused or gave rise to”.","engendered engender (in-djen-dur) v. to cause, to lead to"
"Name the vocab term: adj. of dubious origin; of doubtful authenticity Hint: starts with “a”","apocryphal synonyms: fictitious, doubtful, unverified, questionable, spurious The story of his victory seems apocryphal."
"Fill in the blank: There was clear ________ between the rivals. Hint: Starts with “e” and means “hostile opposition or hatred”.","enmity enmity (en-mih-tee) n. strong mutual hatred"
"Name the vocab term: n. one with artistic sensibilities Hint: starts with “a”","aesthete synonyms: artist, connoisseur, art lover, creative, visionary As an aesthete, she appreciated fine art."
"Fill in the blank: Her ________ work earned her many accolades. Hint: Starts with “e” and means “worthy of respect”.","estimable estimable (es-tuh-muh-buhl) adj. formidable, worthy"
"Name the vocab term: v. to criticize with harsh or abusive language Hint: starts with “r”","revile synonyms: scold, criticize, abuse, denounce, vilify, berate The critics reviled the film for its poor acting."
"Fill in the blank: Her ________ energy amazed everyone. Hint: Starts with “i” and means “persisting tirelessly”.","indefatigable indefatigable (in-duh-fat-ih-guh-buhl) adj. incapable of becoming exhausted; tireless; dogged"
"Define: ensemble (on-som-bul)","n. a whole group formed by separate parts The band was an ensemble of classical violinists, guitarists, and a jazz pianist. Prefix: en- (from Latin in, meaning “in” or “into”), Root: semble (from Latin simulare, meaning “to make like” or “to imitate”)"
"Define: effervescent (eff-er-vess-uhnt)","adj. emitting small bubbles adj. lively, showing high spirits, vivacious Stacy's effervescent mind captivated everyone she met. Prefix: ef- (variant of ex-, meaning “out”), Root: ferv (from Latin fervēre, meaning “to boil”), Suffix: -escent (indicating the process of becoming)"
"Define: enthrall (in-thrawl)","v. to captivate v. to enslave The singer's voice enthralled the judges, who immediately awarded her first place in the contest. Prefix: en- (from Latin in, meaning “in” or “into”), Root: thrall (from Old English þræll, meaning “slave” or “servant”)"
"Define: entreat (in-treet)","v. to plead The rejected boy entreated the girl to give him a second chance. Prefix: en- (from Latin in, meaning “in” or “into”), Root: treat (from Latin tractare, meaning “to handle” or “to manage”)"
"Define: extirpate (ek-ster-peyt)","v. to destroy, annihilate totally v. to cut out by the roots Modern thinkers have proposed to extirpate religion from all political discourse. Prefix: ex- (meaning “out” or “away”), Root: stirp (from Latin stirps, meaning “root” or “stock”)"
"Define: enumerate (ih-new-muh-rate)","v. to list items individually Shocked by her decision, I asked her to enumerate her reasons for firing him. Prefix: e- (variant of ex-, meaning “out”), Root: numer (from Latin numerus, meaning “number”), Suffix: -ate (used to form verbs)"
"Define: internecine (in-ter-neh-seen)","adj. mutually destructive adj. characterized by bloodshed and carnage adj. relating to intra-group struggle That country's internecine struggle was only put to rest after many innocent people lost their lives. Prefix: inter- (meaning “between” or “among”), Root: nec (from Latin necare, meaning “to kill”)"
"Define: ephemeral (uh-fem-er-ul)","adj. lasting only a short while Our joy at being let out for the weekend was only ephemeral, for we soon realized that we had a lot of studying to do for Monday. Prefix: ep- (variant of epi-, meaning “upon” or “close to”), Root: hemer (from Greek hēmera, meaning “day”)"
"Define: variegated (vair-ee-uh-gehyt-id)","adj. multicolored adj. varied The variegated leaves were a sure sign that autumn had arrived. Root: vari (from Latin varius, meaning “varied”), Suffix: -egate (related to the Latin agere, meaning “to do” or “to make”)"
"Define: venerate (ven-uh-rehyt)","v. to respect deeply and honor The children venerated their grandfather and sought not to disappoint him. Root: vener (from Latin venerari, meaning “to worship”), Suffix: -ate (used to form verbs)"
"Define: veracity (vur-rass-ih-tee)","n. truthfulness In order to have her article published, Susan needed to prove the veracity of her claims. Root: ver (from Latin verus, meaning “true”), Suffix: -acity (indicating a quality or state)"
"Define: verbiage (ver-bee-idge)","n. an overabundance of words n. one's manner of speaking The elderly speaker's verbiage tended toward the formal. Root: verb (from Latin verbum, meaning “word”), Suffix: -age (indicating an action or process)"
"Define: vestige (ves-tidge)","n. a small remnant That abandoned well is a vestige of the manor that once stood here. Root: vestig (from Latin vestigium, meaning “footprint” or “trace”)"
"Define: vex (vex)","v. to annoy or bother v. to confound v. to talk about extensively It was when they were allowed to horse around the house that the children vexed her the most. Root: vex (from Latin vexare, meaning “to shake” or “to annoy”)"
"Define: vigilant (vidge-ih-lunt)","adj. watchful Our new dog is very vigilant when it comes to guarding the house. Root: vigil (from Latin vigil, meaning “awake” or “watchful”), Suffix: -ant (indicating an agent or something performing an action)"
"Define: vigor (vig-er)","n. energy, vitality n. strength; forcefulness After she broke her hip dancing, Kate realized that she had lost the youthful vigor she once had. Root: vigor (from Latin vigere, meaning “to be lively” or “to thrive”)"
"Define: virtuoso (vur-chew-owe-so)","n. a highly-skilled artist Even at a young age, it was clear that Beethoven was a virtuoso in the making. Root: virt (from Latin virtus, meaning “excellence” or “virtue”), Suffix: -oso (used in Italian to denote a person with a particular skill)"
"Define: viscous (viss-kuss)","adj. thick and syrup-like They slathered a viscous glue over the pieces to make sure they would stick. Root: visc (from Latin viscum, meaning “birdlime” or “sticky substance”), Suffix: -ous (indicating possessing or full of)"
"Define: vituperate (vahy-too-puh-rehyt)","v. to scold The old man vituperated the neighborhood boys who were trespassing on his lawn. Root: vituper (from Latin vituperare, meaning “to blame” or “to scold”), Suffix: -ate (used to form verbs)"
"Define: vivacious (vih-vey-shuss)","adj. energetic; full of life At ninety years old, Melinda was known for being particularly vivacious for her age. Root: viv (from Latin vivere, meaning “to live”), Suffix: -acious (indicating a tendency or inclination)"
"Name the vocab term: n. a whole group formed by separate parts Hint: starts with “e”","ensemble synonyms: band, collection, organization, group, assembly, team The ensemble performed flawlessly, each musician contributing to the harmonious piece."
"Fill in the blank: Her ________ personality lit up the room. Hint: Starts with “e” and means “bubbly or lively”.","effervescent effervescent (eff-er-vess-uhnt) adj. emitting small bubbles adj. lively, showing high spirits, vivacious"
"Name the vocab term: v. to captivate v. to enslave Hint: starts with 'e'","enthrall synonyms: absorb, enrapture, beckon, beguile, charm, fascinate, grip The magician's tricks enthralled the audience."
"Fill in the blank: She ________ him to stay for the evening. Hint: Starts with “e” and means “begged or pleaded earnestly”.","entreated entreat (in-treet) v. to plead"
"Name the vocab term: v. to destroy, annihilate totally v. to cut out by the roots Hint: starts with “e”","extirpate synonyms: destroy, annihilate; remove, uproot, eradicate, eliminate, abolish They worked to extirpate the invasive species."
"Fill in the blank: She ________ the reasons for her decision. Hint: Starts with “e” and means “listed one by one”.","enumerated enumerate (ih-new-muh-rate) v. to list items one by one"
"Name the vocab term: adj. mutually destructive adj. characterized by bloodshed and carnage adj. relating to intra-group struggle Hint: starts with “i”","internecine synonyms: civil, fratricidal, deadly, bloody, catastrophic, self-destructive, destructive The internecine conflict devastated the entire region."
"Fill in the blank: The sunset's beauty was ________ but unforgettable. Hint: Starts with “e” and means “lasting a very short time”.","ephemeral ephemeral (uh-fem-er-ul) adj. lasting a very short time"
"Name the vocab term: adj. appearing to have different colors adj. varied Hint: starts with “v”","variegated synonyms: diverse, kaleidoscopic, multicolored, assorted, mixed The artist used a variegated palette for the mural."
"Fill in the blank: They ________ their elders with great ceremony. Hint: Starts with “v” and means “regarded with deep respect”.","venerated venerate (ven-uh-rehyt) v. to respect deeply and honor"
"Name the vocab term: n. truthfulness Hint: starts with “v”","veracity synonyms: certainty, truth, fact, accuracy, honesty, integrity His veracity was never in question."
"Fill in the blank: The report was filled with unnecessary ________. Hint: Starts with “v” and means “excessive or unnecessary words”.","verbiage verbiage (ver-bee-idge) n. an overabundance of words n. one's manner of speaking"
"Name the vocab term: n. a small remnant Hint: starts with “v”","vestige synonyms: remainder, hint, trace, fragment, relic Only a vestige of the ancient building remained."
"Fill in the blank: His constant questions began to ________ her. Hint: Starts with “v” and means “to annoy or frustrate”.","vex vex (vex) v. to annoy or bother v. to confound v. to talk about extensively"
"Name the vocab term: adj. watchful Hint: starts with “v”","vigilant synonyms: attentive, aware, on the lookout, alert, observant, cautious The security guard remained vigilant throughout the night."
"Fill in the blank: She tackled the project with great ________. Hint: Starts with “v” and means “physical strength or energy”.","vigor vigor (vig-er) n. energy, vitality n. strength; forcefulness"
"Name the vocab term: n. a highly-skilled artist Hint: starts with “v”","virtuoso synonyms: ace, artist, professional, maestro, genius, expert The pianist was a virtuoso, admired worldwide."
"Fill in the blank: The ________ honey slowly dripped from the spoon. Hint: Starts with “v” and means “thick and sticky”.","viscous viscous (viss-kuss) adj. thick and syrup-like"
"Name the vocab term: v. to scold Hint: starts with “v”","vituperate synonyms: abuse, berate, yell at, criticize, reprimand, condemn The coach began to vituperate the team for their poor performance."
"Fill in the blank: Her ________ spirit made her the life of the party. Hint: Starts with “v” and means “lively and spirited”.","vivacious vivacious (vih-vey-shuss) adj. energetic; full of life"
"Define: meticulous (muh-tick-yuh-luss)","adj. paying great attention to detail He was a meticulous sculptor, sometimes spending hours perfecting a single fingernail on one of his figures. Root: metus (from Latin, meaning “fear” or “anxiety”)"
"Define: mimicry (mim-ih-kree)","n. a close imitation of something else Mimicry is common in the animal kingdom, such as when harmless species assume the aspect of poisonous ones to avoid being eaten. Root: mim (from Greek mimos, meaning “imitator” or “actor”)"
"Define: minuet (min-you-et)","n. a slow, stately, pattern dance in 3/4 time n. the music to accompany the dance of the same name A minuet is always danced with three beats per measure. Root: minu (from Latin minutus, meaning “small” or “minute”)"
"Define: minute (my-newt)","adj. tiny adj. attentive to the smallest details The chances of such a slow horse actually winning the race are minute. Root: minu (from Latin minutus, meaning “small” or “minute”)"
"Define: mirth (murth)","n. glee; joy The house was always full of happy laughter and other signs of mirth. Root: mirth (from Old English myrgth, meaning “joy” or “pleasure”)"
"Define: dissipated (dis-uh-pey-tid)","adj. indulging in excessive devotion to pleasure; debauched, dissolute; wasted, squandered; to cause to disappear, disperse His life quickly became dissipated and unstructured after he won the lottery. Prefix: dis- (from Latin, meaning “apart” or “away”), Root: sip (from Latin supare, meaning “to throw”)"
"Define: misanthrope (miss-un-throwp)","n. hater of humanity The old man was a notorious misanthrope who loathed even his own children. Prefix: mis- (from Greek, meaning “hate”), Root: anthrop (from Greek anthropos, meaning “human”)"
"Define: invidious (in-vid-ee-uhs)","adj. offensive, provoking resentment or ill-will The teacher's invidious practice of playing favorites led to several parent conferences. Prefix: in- (from Latin, meaning “in” or “on”), Root: vid (from Latin videre, meaning “to see”)"
"Define: misconstrue (miss-kun-strew)","v. to misunderstand Eva has a habit of misconstruing compliments, reading amorous designs into the most innocent remarks. Prefix: mis- (from Old English, meaning “wrong” or “badly”), Root: stru (from Latin struere, meaning “to build” or “to arrange”)"
"Define: remit (rih-mit)","v. to transmit payment v. to refrain from exacting v. to pardon v. to desist, postpone or give up The transaction was completed after the buyer remitted the money. Prefix: re- (from Latin, meaning “back” or “again”), Root: mit (from Latin mittere, meaning “to send”)"
"Define: mitigate (mit-ih-gate)","v. to make smaller or less problematic The hurricane's effect was mitigated by the quick response from the national guard. Root: miti (from Latin mitis, meaning “soft” or “gentle”), Suffix: -gate (from Latin agere, meaning “to drive” or “to lead”)"
"Define: opprobrium (uh-proh-bree-uhm)","n. the disgrace felt by someone who has acted in an outrageously shameful manner Oedipus Rex experienced great opprobrium after learning the true extent of his crimes. Root: opprobri (from Latin opprobrum, meaning “disgrace” or “reproach”)"
"Define: mollify (mohl-ih-fahy)","v. to decrease the strength of, pacify, placate v. to make softer, less severe His rage was mollified by his wife's soothing words. Root: moll (from Latin mollis, meaning “soft”), Suffix: -fy (from Latin facere, meaning “to make”)"
"Define: momentum (moh-men-tum)","n. strength built up by continued movement or development The protest gained momentum as it passed through the city and gained new supporters. Root: moment (from Latin momentum, meaning “movement” or “motion”)"
"Define: prodigious (pruh-didj-us)","adj. having great power or size adj. extreme The building of the new dam is a prodigious project requiring thousands of men and millions of dollars. Root: prodigi (from Latin prodigium, meaning “omen” or “portent”), Suffix: -ous (from Latin, meaning “full of”)"
"Define: asperity (uh-sper-ih-tee)","n. severity, rigor n. acrimony, irritability The asperity of a northern winter can lead to depression. Root: asper (from Latin asper, meaning “rough” or “harsh”), Suffix: -ity (from Latin, indicating a state or condition)"
"Define: profligate (prof-lih-git)","adj. immoral adj. recklessly extravagant She criticized her spoiled son for his profligate lifestyle. Prefix: pro- (from Latin, meaning “forward” or “forth”), Root: flig (from Latin fligere, meaning “to strike”)"
"Define profuse (pruh-fewss)","adj. abundant adj. freely giving or spending Horrified by the consequences of her actions, Joyce offered profuse apologies to her friends. Prefix: pro- (from Latin, meaning “forward” or “forth”), Root: fus (from Latin fundere, meaning “to pour”)"
"Define: hapless (hap-liss)","adj. unlucky, unfortunate, luckless The hapless, accident-prone child managed to break his leg for the third time. Root: hap (from Old Norse happ, meaning “luck” or “chance”), Suffix: -less (from Old English, meaning “without”)"
"Define: prognostic (prog-noss-tick)","n. a prediction adj. indicating future events Climate scientists presented a chilling prognostic of what will happen to our planet in the near future. Prefix: pro- (from Greek, meaning “before”), Root: gnostic (from Greek gnosis, meaning “knowledge”)"
"Name the vocab term: adj. paying great attention to detail Hint: starts with “m”","meticulous synonyms: perfectionist, painstaking, thorough, precise, careful She was meticulous in her research, ensuring no errors were made."
"Fill in the blank: The comedian's ________ of celebrities had everyone laughing. Hint: Starts with “m” and means “the act of imitating”.","mimicry mimicry (mim-ih-kree) n. a close imitation of something else"
"Name the vocab term: n. a slow, stately, pattern dance in 3/4 time n. the music to accompany the dance of the same name Hint: starts with “m”","minuet synonyms: dance, waltz; music, piece, suite, melody, rhythm They danced a graceful minuet at the formal ball. The orchestra played a classical minuet to set the mood."
"Fill in the blank: Her ________ observations caught every flaw in the design. Hint: Starts with “m” and means “extremely small”.","minute minute (my-newt) adj. tiny adj. attentive to the smallest details"
