Front,Back
"Define: rail (reyl)","v. to complain bitterly The citizens railed against the injustice of the federal land grab in tersely-worded editorials and letters to the editor. Root: regula (from Latin, meaning “a straight stick”)"
"Define: noisome (noy-suhm)","adj. unpleasant (smell) or harmful The noisome odor of the garbage nauseated Audrey. Suffix: -some (from Old English, meaning “tending to” or “causing”)"
"Define: mellifluous (muh-lif-loo-uhs)","adj. sweetly flowing (esp. of words or sounds) Lucy's mellifluous voice was noted by her interviewer. Prefix: melli- (from Latin mel, meaning “honey”); Root: fluere (from Latin, meaning “to flow”)"
"Define: inveterate (in-vet-er-it)","adj. established, habitual, deep-rooted It was Tony's inveterate preference to drink orange juice every morning. Prefix: in- (from Latin, meaning “in” or “into”); Root: vetus (from Latin, meaning “old”)"
"Define: coterie (koh-tuh-ree)","n. a small or exclusive group of people with common interests The coterie of musicians began to meet on Tuesday nights and eventually established a weekly concert series. Root: cote (from Old French, meaning “cottage” or “hut”)"
"Define: impugn (im-pyoon)","v. to challenge or attack one's beliefs or motives as false The candidate went too far when he began to impugn the character of his opponent's husband. Prefix: im- (from Latin, meaning “against”); Root: pugnare (from Latin, meaning “to fight”)"
"Define: voluble (vol-yuh-buhl)","adj. able to speak easily and in quantity, glib, talkative The voluble speaker talked late into the night. Root: volvere (from Latin, meaning “to turn” or “to roll”)"
"Define: misogynist (mih-sodj-uh-nist)","n. one who hates women The song contained several lyrics that were so offensive to women that the singer was immediately labeled a misogynist. Prefix: miso- (from Greek, meaning “hatred”); Root: gyn (from Greek gynē, meaning “woman”)"
"Define: pedagogy (ped-uh-goh-djee)","n. the art or profession of training, teaching, or instructing Training in pedagogy can't prepare you for manic third graders. Root: ped (from Greek pais, meaning “child”); Suffix: -agogy (from Greek agogos, meaning “leader”)"
"Define: ambient (am-bee-uhnt)","adj. relating to the immediate surroundings; surrounding environment The low ambient lighting made for a romantic dinner setting. Prefix: ambi- (from Latin, meaning “around”); Root: ire (from Latin, meaning “to go”)"
"Define: inquest (in-kwest)","n. a judicial inquiry of some matter held before a jury n. an investigation, inquiry The police opened an inquest into the cause of death. Prefix: in- (from Latin, meaning “in” or “into”); Root: quaerere (from Latin, meaning “to seek”)"
"Define: preen (preen)","v. to primp, to dress up v. to clean fur or feathers of an animal The bird preened its feathers with its beak for a few moments before taking flight."
"Define: parry (pear-ee)","v. to block, evade, or ward off The politician parried the reporter's questions with a few of her own. Root: parare (from Latin, meaning “to prepare” or “to ward off”)"
"Define: guy (gahy)","n. rope or cord attached to something as a brace I was nervous that the guy for the pulley would snap."
"Define: sallow (sal-oh)","adj. of a sickly yellowish hue or complexion There was a large number of sallow-looking patients in the doctor's office."
"Define: plangent (plan-djuhnt)","adj. pounding, thundering, resounding The plangent honking of geese flying overhead jolted me awake. Root: plangere (from Latin, meaning “to strike” or “to lament”)"
"Define: peripatetic (per-uh-puh-tet-ik)","adj. itinerant, nomadic A peripatetic existence can take its toll on your relationships with the ones you love. Prefix: peri- (from Greek, meaning “around”); Root: patein (from Greek, meaning “to walk”)"
"Define: rue (roo)","v. to regret; to feel or experience remorse I rued the day I ever let her go."
"Define: macerate (mass-uh-reyt)","v. to soften by steeping in a liquid, or decompose v. to emaciate; to starve Now, we will macerate the rest of the melon in hot water so we can use it to flavor the cream. Root: macerare (from Latin, meaning “to soften” or “to steep”)"
"Define: callow (kal-oh)","adj. lacking maturity or experience A callow young man was tormenting the elderly in the park."
"Name the vocab term: v. to complain bitterly Hint: starts with “r”","rail synonyms: berate, abuse, complain, rant, criticize She railed against the unfair treatment she received."
"Fill in the blank: The ________ fumes made it difficult to breathe. Hint: Starts with “n” and means “offensive or harmful”.","noisome noisome (noy-suhm) adj. offensive or harmful"
"Name the vocab term: adj. sweetly flowing (esp. of words or sounds) Hint: starts with “m”","mellifluous synonyms: euphonic, harmonic, mellow, pleasing, smooth, soothing Her mellifluous voice captivated the audience."
"Fill in the blank: He was an ________ smoker despite numerous attempts to quit. Hint: Starts with “i” and means “firmly established habit”.","inveterate inveterate (in-vet-er-it) adj. established, habitual, deep-rooted"
"Name the vocab term: n. a small or exclusive group of people with common interests Hint: starts with “c”","coterie synonyms: clique, crowd, collective, group, association She belonged to an elite coterie of art collectors."
"Fill in the blank: He ________ her integrity during the heated debate. Hint: Starts with “i” and means “challenged as false”.","impugned impugn (im-pyoon) v. to challenge or attack ones beliefs or motives as false"
"Name the vocab term: adj. able to speak easily and in quantity, glib, talkative Hint: starts with “v”","voluble synonyms: articulate, chatty, conversational, talkative, garrulous The voluble speaker entertained the crowd for hours."
"Fill in the blank: The ________ was known for his discriminatory views. Hint: Starts with “m” and means “one who dislikes women”.","misogynist misogynist (mih-sodj-uh-nist) n. one who hates women"
"Name the vocab term: n. the art or profession of training, teaching, or instructing Hint: starts with “p”","pedagogy synonyms: education, apprenticeship, discipline, instruction, teaching She excelled in pedagogy, making complex subjects accessible to students."
"Fill in the blank: The ________ noise of the city made it hard to concentrate. Hint: Starts with “a” and means “surrounding on all sides”.","ambient ambient (am-bee-uhnt) adj. relating to the immediate surroundings; surrounding environment"
"Name the vocab term: n. a judicial inquiry of some matter held before a jury. n. an investigation, inquiry Hint: starts with “i”","inquest synonyms: a judicial inquiry, an official review before a panel, investigation, examination The court held an inquest into the cause of the accident."
"Fill in the blank: The bird ________ its feathers in the sunlight. Hint: Starts with “p” and means “groomed or dressed with care”.","preened preen (preen) v. to primp, to dress up v. to clean fur or feathers of an animal"
"Name the vocab term: v. to block, evade, or ward off Hint: starts with “p”","parry synonyms: block, dodge, circumvent, deflect, counter He skillfully parried his opponent's attack."
"Fill in the blank: The tent was secured with a ________ to withstand the wind. Hint: Starts with “g” and means “a rope or cable for steadying something”.","guy guy (gahy) n. rope or cord attached to something as a brace"
"Name the vocab term: adj. of a sickly yellowish hue or complexion Hint: starts with “s”","sallow synonyms: pale, unhealthy-looking, jaundiced, sickly, wan Her sallow complexion was a sign of her illness."
"Fill in the blank: The ________ roar of the waves echoed through the cliffs. Hint: Starts with “p” and means “having a mournful sound”.","plangent plangent (plan-djuhnt) adj. pounding, thundering, resounding"
"Name the vocab term: adj. itinerant, nomadic Hint: starts with “p”","peripatetic synonyms: migrant, vagrant, wandering, traveling, roving His peripatetic lifestyle took him all over the world."
"Fill in the blank: He ________ the day he made that fateful decision. Hint: Starts with “r” and means “regretted”.","rued rue (roo) v. to regret; to feel or experience remorse"
"Name the vocab term: v. to soften by steeping in a liquid, or decompose v. to emaciate; to starve Hint: starts with “m”","macerate synonyms: soak, dissolve, break down, soften The fruit was left to macerate in the wine overnight. The harsh conditions caused the prisoners to macerate."
"Fill in the blank: The ________ youth made many naive mistakes. Hint: Starts with “c” and means “inexperienced or immature”.","callow callow (kal-oh) adj. lacking maturity or experience"
"Define: wistful (wist-fuhl)","adj. yearning, longing, or melancholy The child stared wistfully out the window for days, waiting for her dog to return. Suffix: -ful (meaning 'full of')"
"Define: corroborate (kuh-rob-uh-rehyt)","v. to confirm or validate The mailman corroborated the alleged thief's story, confirming that he had merely been passing by when the robbery occurred. Prefix: cor- (from Latin com-, meaning 'together'); Root: robor (from Latin roborare, meaning 'to strengthen')"
"Define: couch (couch)","v. to express in indirect terms; to frame in a certain way Her criticism was couched in flattering terms so that her coworker wouldn't take offense. Root: couch (from Old French coucher, meaning 'to lay down')"
"Define: innervate (ih-nur-veyt)","v. to give nervous energy to; to supply with nerves The team was innervated by the coach's pep talk and approached the second half with renewed energy. Prefix: in- (meaning 'into'); Root: nerve (relating to nerves or the nervous system)"
"Define: impecunious (im-puh-kyoo-nee-us)","adj. poor; without any money A graduate student generally leads an impecunious existence. Prefix: im- (meaning 'not'); Root: pecun (from Latin pecunia, meaning 'money')"
"Define: grovel (gruhv-uhl)","v. to behave in a servile manner to receive forgiveness or a favor v. to kneel with one's head down The servants groveled at the king's throne. Root: grovel (from Middle English grovelen, meaning 'to lie face downward')"
"Define: epicurean (ep-ih-kyoo-ree-uhn)","adj. characterized by luxury (esp. in terms of food and drink) or by a propensity for indulging in luxury The cruise was marketed as an epicurean adventure through the cuisines of four Caribbean nations. Root: Epicure (from the Greek philosopher Epicurus, associated with pleasure and luxury)"
"Define: hirsute (hur-soot)","adj. hairy, shaggy A hirsute sheepdog won the Dog Showing Contest. Root: hirsut (from Latin hirsutus, meaning 'hairy')"
"Define: countenance (koun-tuh-nunce)","n. appearance of a person's face v. to permit, to allow Many people thought she was friendly because of her kindly countenance. Root: counten (from Latin continentia, meaning 'bearing' or 'demeanor')"
"Define: scurvy (skur-vee)","adj. not admirable, despicable The scurvy pirate secured his escape by throwing gun powder into the eyes of his pursuers. Root: scurv (from Old English scurf, meaning 'scaly skin')"
"Define: covert (koe-vert)","adj. hidden; secret The government's covert operations were laid bare by the shocking article. Root: cover (from Old French covrir, meaning 'to cover')"
"Define: craven (kray-vun)","adj. cowardly The craven man ran away at the first sign of danger. Root: crav (from Old French cravent, meaning 'defeated')"
"Define: eugenics (yoo-djen-iks)","n. the study of heredity improvements by genetic control Nazi Germany is known to have carried out many eugenics experiments that provoked outrage once they came to light. Prefix: eu- (meaning 'good' or 'well'); Root: gen (from Greek genos, meaning 'race' or 'kind')"
"Define: credence (creed-enss)","n. belief that something is true n. plausibility She gave credence to the rumors when she failed to deny them. Root: cred (from Latin credere, meaning 'to believe')"
"Define: execrate (ek-si-kreyt)","v. to declare to be hateful or abhorrent; denounce v. to loathe v. to curse The rival teams appeared on the news to execrate one another. Prefix: ex- (meaning 'out'); Root: secr (from Latin sacer, meaning 'sacred')"
"Define: sempiternal (sem-pih-tur-nl)","adj. eternal, infinite Nothing in life is sempiternal, alas. Prefix: sem- (from Latin semper, meaning 'always'); Root: etern (meaning 'eternal')"
"Define: credulous (kredj-uh-luss)","adj. easily convinced that something is true His lies were so ridiculous that only the most credulous child would have believed them. Root: cred (from Latin credere, meaning 'to believe'); Suffix: -ous (meaning 'full of')"
"Define: plumb (pluhm)","v. to measure the depth v. to examine critically I think she is the only architect working today who has the courage to truly plumb the possibilities of recycled construction materials. Root: plumb (from Latin plumbum, meaning 'lead')"
"Define: culpable (kull-puh-bull)","adj. deserving of blame or punishment He confessed that he was culpable for the crime and faced the consequences. Root: culp (from Latin culpa, meaning 'fault' or 'blame'); Suffix: -able (meaning 'capable of')"
"Define: debase (dih-base)","v. to corrupt or lower the value of Many argue that modern society has been debased by materialism. Prefix: de- (meaning 'down' or 'away'); Root: base (meaning 'low' or 'bottom')"
"Name the vocab term: adj. yearning, longing, or melancholy Hint: starts with “w”","wistful synonyms: forlorn, reflective, pensive, melancholic She gave a wistful glance at the old photographs, remembering better times."
"Fill in the blank: The witness's testimony ________ the alibi of the defendant. Hint: Starts with “c” and means “confirmed or supported”.","corroborated corroborate (kuh-rob-uh-rehyt) v. to confirm or validate"
"Name the vocab term: v. to express in indirect terms; to frame in a certain way Hint: starts with “c”","couch synonyms: formulate, phrase, surround, present, articulate She couched her criticism in more diplomatic language to avoid offense."
"Fill in the blank: The motivational speech ________ the team before the big game. Hint: Starts with “i” and means “supplied with nerves”.","innervated innervate (ih-nur-veyt) v. to give nervous energy to; to supply with nerves"
"Name the vocab term: adj. poor; without any money Hint: starts with “i”","impecunious synonyms: destitute, impoverished, broke, needy He was impecunious after years of struggling to find steady work."
"Fill in the blank: They ________ to win favor with the influential leader. Hint: Starts with “g” and means “acted in a servile way”.","groveled grovel (gruhv-uhl) v. to behave in a servile manner v. to indulge in unworthy pursuits"
"Name the vocab term: adj. characterized by luxury (esp. in terms of food and drink) or by a propensity for indulging in luxury Hint: starts with “e”","epicurean synonyms: gluttonous, libertine, luxurious, indulgent The epicurean feast featured the finest wines and gourmet dishes."
"Fill in the blank: The ________ dog left fur all over the furniture. Hint: Starts with “h” and means “hairy”.","hirsute hirsute (hur-soot) adj. hairy, shaggy"
"Name the vocab term: n. appearance of a person's face v. to permit, to allow Hint: starts with “c”","countenance synonyms: aspect, demeanor, expression; face, approval His serious countenance made him look older than his years. The manager countenanced the team's request for a day off."
"Fill in the blank: His ________ behavior left him with few friends. Hint: Starts with “s” and means “despicable or contemptible”.","scurvy scurvy (skur-vee) adj. not admirable, despicable"
"Name the vocab term: adj. hidden; secret n. a covered place for hiding Hint: starts with “c”","covert synonyms: cloaked, secret, sly, concealed, hidden The agent's covert operation was unknown to most of his colleagues. The fox darted into the covert to avoid the hunters."
"Fill in the blank: His ________ refusal to stand up for his beliefs cost him his reputation. Hint: Starts with “c” and means “cowardly”.","craven craven (kray-vun) adj. cowardly"
"Name the vocab term: n. the study of heredity improvements by genetic control Hint: starts with “e”","eugenics synonyms: genetic enhancement, genetic manipulation, biogenetics The controversial theory of eugenics has raised ethical concerns over the years."
"Fill in the blank: The scientist's findings lent ________ to the new theory. Hint: Starts with “c” and means “belief or acceptance as true”.","credence credence (creed-enss) n. belief that something is true n. plausibility"
"Name the vocab term: v. to declare to be hateful or abhorrent; denounce v. to loathe v. to curse Hint: starts with “e”","execrate synonyms: accurse, condemn; hate, detest, revile The dictator was execrated by the people for his brutal regime. She execrated the idea of injustice."
"Fill in the blank: The stars in the sky seem ________, twinkling throughout the ages. Hint: Starts with “s” and means “everlasting”.","sempiternal sempiternal (sem-pih-tur-nl) adj. eternal, infinite"
"Name the vocab term: adj. easily convinced that something is true Hint: starts with “c”","credulous synonyms: gullible, too trusting, naive, unsuspecting The credulous child believed every story his older brother told him."
"Fill in the blank: They used a rope to ________ the depths of the ocean. Hint: Starts with “p” and means “to measure depth or examine closely”.","plumb plumb (pluhm) v. to measure the depth v. to examine critically"
"Name the vocab term: adj. deserving of blame or punishment Hint: starts with “c”","culpable synonyms: guilty, liable, responsible, accountable He was found culpable for the accident and faced legal consequences."
"Fill in the blank: The scandal ________ the reputation of the company. Hint: Starts with “d” and means “lowered in quality or value”.","debased debase (dih-base) v. to corrupt or lower the value of"
"Define: decadent (deck-ih-dunt)","adj. in a state of decline adj. self-indulgent Louis XIV was known for his decadent displays of wealth and power. Prefix: de- (from Latin, meaning “down” or “away”), Root: cad (from Latin cadere, meaning “to fall”)"
"Define: decorous (dek-core-us)","adj. conforming to what is acceptable to society adj. marked by propriety and etiquette One must always behave in a decorous manner at formal events. Root: decor (from Latin decorus, meaning “proper” or “becoming”)"
"Define: decry (dih-cry)","v. to strongly disapprove of The preacher decried society's indifference towards the poor. Prefix: de- (from Latin, meaning “down” or “away”), Root: cry (from Old French crier, meaning “to cry out”)"
"Define: artless (art-liss)","adj. simple and natural adj. unable to mask true feelings adj. without artistic merit; crudely made She had an artless grace about her that endeared her to strangers. Root: art (from Latin ars, meaning “skill” or “craft”), Suffix: -less (meaning “without”)"
"Define: ascetic (uh-set-ik)","adj. relating to self-denial n. a person who practices self-denial The ascetic monks rejected modern comforts such as electricity. Root: ascet (from Greek asketes, meaning “monk” or “hermit”)"
"Define: ascendant (uh-sen-dent)","adj. rising adj. most powerful n. a position of being dominant or in control In this game, newcomers are ascendant because of their youth. Root: ascend (from Latin ascendere, meaning “to climb”), Suffix: -ant (used to form adjectives or nouns indicating an agent or something that performs the action)"
"Define: ascribe (uh-scribe)","v. to attribute or assign to a cause Her success was ascribed to the hours she had spent studying. Prefix: a- (from Latin, meaning “to”), Root: scribe (from Latin scribere, meaning “to write”)"
"Define: assiduous (uh-sidj-oo-us)","adj. making careful and persistent effort John was an assiduous student who always tried his best. Prefix: as- (variant of ad-, from Latin, meaning “to”), Root: sid (from Latin sedere, meaning “to sit”), Suffix: -uous (forming adjectives)"
"Define: assuage (uh-swaydj)","v. to relieve Her anger was assuaged by her friend's soothing words. Prefix: as- (variant of ad-, from Latin, meaning “to”), Root: suage (from Latin suavis, meaning “sweet”)"
"Define: astute (uh-stewt)","adj. having practical intelligence and good judgment An astute teacher always checks for plagiarism. Root: astut (from Latin astutus, meaning “shrewd” or “crafty”)"
"Define: suppliant (suhp-lee-uhnt)","adj. asking humbly, beseeching n. a person who requests or begs The boy was peering into the pet store window with the look of a suppliant on his face. Root: suppli (from Latin supplicare, meaning “to plead humbly”), Suffix: -ant (used to form adjectives or nouns indicating an agent or something that performs the action)"
"Define: atrophy (at-ruh-fee)","n. deterioration (esp. due to inactivity) v. to deteriorate, to waste away (esp. due to inactivity) The paralyzed patient began to show signs of atrophy in his leg muscles. Prefix: a- (from Greek, meaning “not” or “without”), Root: troph (from Greek trophe, meaning “nourishment”)"
"Define: anosmia (an-oz-mee-uh)","n. loss of the sense of smell Melissa has been afflicted with anosmia since birth; she likes to say that sometimes it is a curse, and sometimes a blessing. Prefix: an- (from Greek, meaning “without”), Root: osmia (from Greek osme, meaning “smell”)"
"Define: austere (aw-steer)","adj. severe, strict, or very plain The austere room was anything but inviting. Root: auster (from Greek austeros, meaning “harsh” or “severe”)"
"Define: autonomous (aw-tawn-ih-muss)","adj. independent The revolutionaries are fighting to make their country autonomous. Prefix: auto- (from Greek, meaning “self”), Root: nom (from Greek nomos, meaning “law”), Suffix: -ous (forming adjectives)"
"Define: rapacious (ruh-pey-shuhs)","adj. voracious, greedy, plundering The Vikings were rapacious warriors. Root: rapac (from Latin rapax, meaning “greedy”), Suffix: -ious (forming adjectives)"
"Define: avarice (av-uh-riss)","n. insatiable greed The rich man's avarice led him to buy up most of the neighborhood. Root: avar (from Latin avaritia, meaning “greed”)"
"Define: unflappable (uhn-flap-uh-buhl)","adj. not easily upset or excited (e.g., in a crisis) The unflappable hero maintained his level-headed mentality during the disaster. Prefix: un- (meaning “not”), Root: flap (from Middle English flappen, meaning “to flap”), Suffix: -able (forming adjectives)"
"Define: aver (uh-vurr)","v. to declare as true When interviewed, Susan's friends all averred that she was a trustworthy person. Prefix: a- (from Latin, meaning “to”), Root: ver (from Latin verus, meaning “true”)"
"Define: emasculate (uh-mass-kyuh-leyt)","v. to castrate or make effeminate v. to weaken Wearing the frilly pink shirt made him feel emasculated. Prefix: e- (from Latin, meaning “out”), Root: mascul (from Latin masculus, meaning “male”), Suffix: -ate (forming verbs)"
"Name the vocab term: adj. in a state of decline adj. self-indulgent Hint: starts with “d”","decadent synonyms: decaying, hedonistic, luxurious, indulgent The once-vibrant city now appeared decadent, with crumbling buildings and empty streets. The decadent lifestyle of the wealthy left them morally bankrupt."
"Fill in the blank: Her ________ behavior at the formal event impressed the guests. Hint: Starts with “d” and means “proper and tasteful”.","decorous decorous (dek-core-us) adj. conforming to what is acceptable to society adj. marked by propriety and etiquette"
"Name the vocab term: adj. to strongly disapprove of Hint: starts with “d”","decry synonyms: denounce, deplore, condemn, criticize, vilify The politician decried the corruption in the system."
"Fill in the blank: Her ________ charm made her instantly likable. Hint: Starts with “a” and means “without deceit; natural”.","artless artless (art-liss) adj. simple and natural adj. unable to mask true feelings adj. without artistic merit; crudely made"
"Name the vocab term: adj. relating to self-denial; and n. a person who practices self-denial Hint: starts with “a”","ascetic synonyms: abstinent, restrained, austere, self-disciplined, rigorous His ascetic lifestyle was characterized by minimal possessions and strict routines. The ascetic devoted his life to meditation and reflection, seeking enlightenment through simplicity."
"Fill in the blank: The ________ sun signaled the start of a new day. Hint: Starts with “a” and means “rising in power or influence”.","ascendant ascendant (uh-sen-dent) adj. rising adj. most powerful n. a position of being dominant or in control"
"Name the vocab term: v. to attribute or assign to a cause Hint: starts with “a”","ascribe synonyms: assign, appoint, accredit, attribute, impute He ascribed his success to hard work and determination."
"Fill in the blank: Her ________ attention to detail ensured the project was flawless. Hint: Starts with “a” and means “showing great care and perseverance”.","assiduous assiduous (uh-sidj-oo-us) adj. making careful and persistent effort"
"Name the vocab term: v. to relieve Hint: starts with “a”","assuage synonyms: soothe, alleviate, ease, calm, pacify He tried to assuage her guilt with comforting words."
