Front,Back
"Define: unctuous (uhngk-choo-uhs)","adj. oily, greasy adj. characterized by insincere earnestness The king had the unctuous toady removed from his palace. Root: unct (from Latin unctus, meaning “anointed”); Suffix: -uous (indicating “full of”)"
"Define: arrant (ar-uhnt)","adj. impudent adj. thorough, utter, complete Though the professor is considered one of the greats of his discipline, lately his lectures have verged on arrant nonsense. Root: arrant (from Old French errant, meaning “wandering”)"
"Define: vaunt (vawnt)","v. to boast or brag about Chris, though usually very modest, will readily vaunt his achievements in a job interview. Root: vaunt (from Latin vanitare, meaning “to boast”)"
"Define: affectation (af-ek-tey-shuhn)","n. a show or pretense n. artificial behavior to impress others That American doctor's affectation of a British accent has drawn much criticism. Prefix: af- (variant of ad-, from Latin, meaning “to”); Root: fect (from Latin facere, meaning “to do”); Suffix: -ation (indicating “action or process”)"
"Define: philately (fih-lat-uhl-ee)","n. the study of postage stamps His grandfather is obsessed with philately and has even made several overseas pen pals in order to study their countries' postage. Prefix: phil- (from Greek philos, meaning “loving”); Root: atel (from Greek ateleia, meaning “exemption from tax”)"
"Define: canonical (kuh-non-ih-kuhl)","adj. in agreement with accepted principles adj. authorized, accepted The canonical Mozart sonatas were consulted in order to compare them to the newly-discovered manuscript attributed to him. Root: canon (from Greek kanon, meaning “rule” or “standard”); Suffix: -ical (indicating “pertaining to”)"
"Define: whit (wit)","n. the smallest possible part or fraction The bank robber did not have a whit of self-respect. Root: whit (from Old English hwit, meaning “a small amount”)"
"Define: epaulet (ep-uh-let)","n. a shoulder ornament, esp. a strap on military uniforms The veteran's uniform was adorned by a pair of impressive epaulets. Root: epaule (from French épaule, meaning “shoulder”); Suffix: -et (diminutive suffix indicating “small”)"
"Name the vocab term: v. to deliberately obscure, to make confusing, to bewilder Hint: starts with “o”","obfuscate synonyms: baffle, muddle, confound, cloud, confuse, bewilder The lawyer tried to obfuscate the facts to confuse the jury."
"Fill in the blank: The author received an ________ from critics praising her latest novel. Hint: Starts with “e” and means “a speech or piece of writing that praises highly”.","encomium encomium (en-koh-mee-uhm) n. enthusiastic praise"
"Name the vocab term: n. loud, sustained noise, confusing or tumultuous sound Hint: starts with “d”","din synonyms: buzz, clamor, commotion, racket, uproar, cacophony The din of the crowd made it difficult to hear the speaker."
"Fill in the blank: Bronze is an ________ made from copper and tin. Hint: Starts with “a” and means “a mixture of metals”.","alloy alloy (n. al-oi; v. al-oi) n. a mixture of superior and inferior ingredients v. to debase by mixing with something inferior"
"Name the vocab term: n. the skill or practice of fighting with fists; boxing Hint: starts with “p”","pugilism synonyms: battle, sparring, duel, boxing, fisticuffs His passion for pugilism led him to become a champion boxer."
"Fill in the blank: Her ________ was evident as she criticized others while ignoring her own faults. Hint: Starts with “s” and means “pretended holiness or righteousness”.","sanctimony sanctimony (sangk-tuh-moh-nee) n. self-righteousness, pretended piety, insincere holiness"
"Name the vocab term: adj. full of sinister influence, pernicious, ominous Hint: starts with “b”","baleful adj. full of sinister influence, pernicious, ominous The villain's baleful smile sent chills down her spine."
"Fill in the blank: The community came together to ________ the new memorial. Hint: Starts with “h” and means “to make holy or sacred”.","hallow hallow (hal-oh) v. to set apart as holy, to sanctify"
"Name the vocab term: adj. apparent Hint: starts with “o”","ostensible synonyms: exhibited, likely, manifest, seeming, purported The ostensible reason for his visit was to check on her, but he had another agenda."
"Fill in the blank: After years of hard work, he finally landed a ________ that allowed him to relax. Hint: Starts with “s” and means “a job requiring little work but giving status or pay”.","sinecure sinecure (sahy-nih-kyoor) n. a comfortable job requiring little work"
"Name the vocab term: n. a male servant, servile follower, toady Hint: starts with “l”","lackey synonyms: servant, butler, subordinate, sycophant, minion He was treated like a lackey, always expected to run errands for his boss."
"Fill in the blank: She sought to ________ the imbalance by addressing the unfair policies. Hint: Starts with “r” and means “to set right or remedy”.","redress redress (ree-dress) v. to set right, to remedy n. compensation or restitution for a wrong"
"Name the vocab term: adj. oily, greasy adj. characterized by insincere earnestness Hint: starts with “u”","unctuous synonyms: fatty, slick; lying, untruthful, smooth, ingratiating The chef used unctuous olive oil to enhance the flavor of the dish. His unctuous compliments made her suspicious of his true intentions."
"Fill in the blank: His ________ disregard for the rules resulted in severe consequences. Hint: Starts with “a” and means “complete or utter, often in a negative sense”.","arrant arrant (ar-uhnt) adj. impudent adj. thorough, utter, complete"
"Name the vocab term: v. to boast, to brag Hint: starts with “v”","vaunt synonyms: flaunt, gloat, show off, proclaim She loved to vaunt her accomplishments at every opportunity."
"Fill in the blank: Her British accent was an ________ she adopted to appear more sophisticated. Hint: Starts with “a” and means “artificial behavior to impress others”.","affectation affectation (af-ek-tey-shuhn) n. a show or pretense n. artificial behavior to impress others"
"Name the vocab term: n. the study of postage stamps Hint: starts with “p”","philately synonyms: study of stamps, stamp collecting, philatelic study Her passion for philately led her to collect rare stamps from around the world."
"Fill in the blank: Her research follows ________ methods recognized by the scientific community. Hint: Starts with “c” and means “accepted as standard or authoritative”.","canonical canonical (kuh-non-ih-kuhl) adj. in agreement with accepted principles adj. authorized, accepted"
"Name the vocab term: n. the smallest possible part or fraction Hint: starts with “w”","whit synonyms: atom, crumb, grain, iota, bit, fragment There wasn't a whit of evidence to support his claims."
"Fill in the blank: The soldier's uniform was adorned with gold ________ indicating his rank. Hint: Starts with “e” and means “ornamental shoulder piece on clothing”.","epaulet epaulet (ep-uh-let) n. a shoulder ornament, esp. a strap on military uniforms"
"Define: panoply (pan-uh-plee)","n. a splendid, striking array n. the complete armory of a warrior n. a shining protective array A porcupine's panoply of quills is quite a protective arsenal. Prefix: pan- (from Greek pan, meaning “all”); Root: hopla (from Greek hopla, meaning “arms” or “armor”)"
"Define: pantheon (pan-thee-on)","n. a temple dedicated to the gods n. all the gods of a people n. a group of famous persons The Greek pantheon includes Zeus and his consort, Hera. Prefix: pan- (from Greek pan, meaning “all”); Root: theos (from Greek theos, meaning “god”)"
"Define: blandish (blan-dish)","v. to coax or influence with flattery Steve blandished her into going out with him. Root: bland (from Latin blandus, meaning “flattering” or “smooth”)"
"Define: peremptory (puh-remp-tuh-ree)","adj. admitting of no contradiction; putting an end to further debate; haughty; imperious He ended the discussion with a peremptory wave of his hand. Prefix: per- (from Latin per, meaning “thoroughly”); Root: empt (from Latin emere, meaning “to take”)"
"Define: tyro (tahy-roh)","n. a beginner or novice in any kind of skill The hapless tyro tripped over the ropes on his way into the boxing ring. Root: tyro (from Latin tiro, meaning “young soldier” or “novice”)"
"Define: fetid (fet-id)","adj. malodorous, stinky The fetid green substance had taken over the entire fridge. Root: fet (from Latin fetere, meaning “to stink”)"
"Define: fecundity (fih-kuhn-dih-tee)","n. fertility, fruitfulness An artist's period of fecundity can come at any time of her life. Root: fecund (from Latin fecundus, meaning “fruitful”); Suffix: -ity (from Latin -itas, indicating a state or condition)"
"Define: rarefied (rair-uh-fahyd)","adj. thin, pure, refined The rarefied air of higher altitudes makes it very difficult to climb Mt. Everest. Root: rare (from Latin rarus, meaning “thin” or “sparse”); Suffix: -fy (from Latin facere, meaning “to make”)"
"Define: delectation (dee-lek-tey-shuhn)","n. enjoyment They played wiffleball for the delectation of it, not for the competition. Root: delect (from Latin delectare, meaning “to delight”); Suffix: -tion (from Latin -tionem, indicating an action or process)"
"Define: fickle (fick-ul)","adj. prone to changing often Suzanne was a fickle friend who could not be relied upon. Root: fick (from Old English ficol, meaning “deceitful” or “treacherous”)"
"Define: fidelity (fih-dell-ih-tee)","n. devotion to obligations or loyalties n. the accuracy of a reproduced sound or image Kevin's parents were proud of him for his fidelity to the family business. Root: fid (from Latin fides, meaning “faith” or “trust”); Suffix: -ity (from Latin -itas, indicating a state or condition)"
"Define: fission (fish-un)","n. the act of separating into parts The controversial legislation led to the fission of the administration. Root: fiss (from Latin fissio, meaning “a splitting”); Suffix: -ion (from Latin -ionem, indicating an action or process)"
"Define: flag (flag)","v. to become tired or weak v. to droop or limp The runner's enthusiasm flagged when she realized she still had many miles ahead of her. Root: flag (from Old Norse flaga, meaning “to droop” or “to hang loosely”)"
"Define: florid (floor-id)","adj. healthy-looking adj. ornate or flowery The author's florid prose did not impress the critics, who found her work pretentious. Root: flor (from Latin floridus, meaning “flowery” or “flourishing”)"
"Define: forbear (for-bear)","v. to refrain from doing something Although I know Adam likes to crack jokes, I would have liked him to forbear silliness in such a serious situation. Prefix: for- (from Old English forberan, meaning “to endure”); Root: bear (from Old English beran, meaning “to carry” or “to bear”)"
"Define: forestall (for-stall)","v. to deal with ahead of time; to prevent The mayor called the police before the protest even began in order to forestall rioting. Prefix: fore- (from Old English fore, meaning “before”); Root: stall (from Old English steall, meaning “place” or “position”)"
"Define: quail (kweyl)","v. to shrink with fear The puppy quailed at my angry tone. Root: quail (from Middle English quailen, meaning “to waste away” or “to lose heart”)"
"Define: forthright (forth-rahyt)","adj. straightforward One should be forthright and honest with the authorities so as not to seem suspicious. Prefix: forth- (from Old English forth, meaning “forward”); Root: right (from Old English riht, meaning “straight” or “direct”)"
"Define: fortuity (for-too-ih-tee)","n. an event that happens by chance without a known cause n. luck By sheer fortuity, Linda was assigned to the same homeroom as her twin brother. Root: fortu (from Latin fortuitus, meaning “by chance”); Suffix: -ity (from Latin -itas, indicating a state or condition)"
"Define: mince (minss)","v. to speak carefully; to euphemize Don't mince words with me; just say what you need to say! Root: minc (from Old French mincier, meaning “to make small”)"
"Name the vocab term: n. a splendid, striking array n. the complete armory of a warrior n. a shining protective array Hint: starts with “p”","panoply synonyms: display, arrangement; armaments, array, equipment, ensemble The museum featured a panoply of historical artifacts from various cultures. The knight's panoply included an impressive array of armor and weapons."
"Fill in the blank: The ancient Greeks built a ________ to honor their gods. Hint: Starts with “p” and means “a group of important or famous people”.","pantheon pantheon (pan-thee-on) n. a temple dedicated to the gods n. all the gods of a people n. a group of famous persons"
"Name the vocab term: v. to coax or influence with flattery Hint: starts with “b”","blandish synonyms: charm, flatter, cajole, sweet-talk He tried to blandish his way into a better deal with flattery."
"Fill in the blank: Her ________ tone left no room for discussion. Hint: Starts with “p” and means “insisting on immediate obedience”.","peremptory peremptory (puh-remp-tuh-ree) adj. admitting of no contradiction; putting an end to further debate; haughty; imperious"
"Name the vocab term: n. a beginner or novice in any kind of skill Hint: starts with “t”","tyro synonyms: beginner, rookie, neophyte, fledgling As a tyro in the field, he was eager to learn from his peers."
"Fill in the blank: The ________ odor from the garbage made the area unbearable. Hint: Starts with “f” and means “having a foul smell”.","fetid fetid (fet-id) adj. malodorous, stinky"
"Name the vocab term: n. fertility, fruitfulness Hint: starts with “f”","fecundity synonyms: abundance, productivity, richness, yield The fecundity of the land resulted in a bountiful harvest."
"Fill in the blank: The ________ air at high altitudes can be challenging for climbers. Hint: Starts with “r” and means “distant from ordinary concerns; elevated”.","rarefied rarefied (rair-uh-fahyd) adj. thin, pure, refined"
"Name the vocab term: n. enjoyment Hint: starts with “d”","delectation synonyms: delight, elation, pleasure, satisfaction She read the novel with great delectation, savoring each chapter."
"Fill in the blank: His ________ nature made it hard to rely on his commitments. Hint: Starts with “f” and means “changing frequently in loyalty or affection”.","fickle fickle (fick-ul) adj. prone to changing often"
"Name the vocab term: n. devotion to obligations or loyalties n. the accuracy of a reproduced sound or image Hint: starts with “f”","fidelity synonyms: allegiance, faith, loyalty, constancy Her fidelity to her friends was unwavering, always standing by them in tough times. The fidelity of the sound system ensured that every note was reproduced accurately."
"Fill in the blank: The ________ of the atom released a significant amount of energy. Hint: Starts with “f” and means “splitting into parts”.","fission fission (fish-un) n. the act of separating into parts"
"Name the vocab term: v. to become tired or weak v. to droop or limp Hint: starts with “f”","flag synonyms: droop, fade, wane, weaken, sink, decline After hours of studying, he began to flag, struggling to keep his eyes open. The flowers started to flag in the heat without enough water."
"Fill in the blank: The patient had a ________ complexion, indicating good health. Hint: Starts with “f” and means “excessively ornate or flushed in complexion”.","florid florid (floor-id) adj. healthy-looking adj. ornate or flowery"
"Name the vocab term: v. to refrain from doing something Hint: starts with “f”","forbear synonyms: avoid, constrain, forgo, withhold, abstain He decided to forbear from commenting on the sensitive issue."
"Fill in the blank: They tried to ________ problems by addressing them early. Hint: Starts with “f” and means “to prevent or delay by taking action in advance”.","forestall forestall (for-stall) v. to deal with ahead of time; to prevent"
"Name the vocab term: v. to shrink with fear Hint: starts with “q”","quail synonyms: recoil, cower, tremble, flinch She began to quail at the thought of public speaking."
"Fill in the blank: His ________ manner made him a trusted advisor. Hint: Starts with “f” and means “direct and outspoken”.","forthright forthright (forth-rahyt) adj. straightforward"
"Name the vocab term: n. an event that happens by chance without a known cause n. luck Hint: starts with “f”","fortuity synonyms: accident; good fortune, coincidence, serendipity The discovery of the rare artifact was a remarkable fortuity during the excavation. Winning the lottery was a stroke of fortuity that changed his life."
"Fill in the blank: He chose to ________ his words when discussing the sensitive topic. Hint: Starts with “m” and means “to soften or restrain words”.","mince mince (minss) v. to speak carefully; to euphemize"
"Define: visceral (viss-er-uhl)","adj. felt in one's stomach adj. emotional, rather than intellectual Jeb's visceral response to his mother's racist ramblings was visible to all of us. Root: viscer (from Latin viscera, meaning “internal organs”)"
"Define: refectory (rih-fek-tuh-ree)","n. a room or dining area where meals are served The students milled about the entrance to the refectory, counting down the seconds until supper would be served. Root: fect (from Latin facere, meaning “to make” or “to do”); Prefix: re- (from Latin, meaning “again” or “back”)"
"Define: frenetic (fruh-net-ik)","adj. frenzied or frantic Frenetic screams filled the room as people tried to get out before the fire spread. Root: fren (from Greek phrenitis, meaning “inflammation of the brain”)"
"Define: infinitesimal (in-fin-ih-tess-uh-muhl)","adj. immeasurably small The proportion of truly selfless people in this world is surely infinitesimal. Prefix: in- (from Latin, meaning “not”); Root: finite (from Latin finis, meaning “end” or “limit”); Suffix: -esimal (from Latin -esimus, meaning “hundredth”)"
"Define: sanguine (sang-gwin)","adj. cheerfully optimistic; a blood-red color Samantha had a sanguine attitude towards life that enriched those around her. Root: sanguin (from Latin sanguis, meaning “blood”)"
"Define: furtive (fur-tiv)","adj. secretive, sly At the party, Julia cast furtive glances around the room to make sure her elder sister was not around to send her back home. Root: furt (from Latin furtivus, meaning “stolen”)"
"Define: calumny (kal-uhm-nee)","n. a false statement; slander, aspersion The desperate candidate abandoned reasoned arguments and resorted to calumnies against the front-runner. Root: calumn (from Latin calumnia, meaning “false accusation”)"
"Define: quotidian (kwoh-tid-ee-uhn)","adj. everyday, commonplace, habitual Joe's small, quotidian pleasures seemed more substantial than Mattias's high-profile jet-setting. Root: quot (from Latin quotidie, meaning “every day”)"
"Define:: salacious (suh-ley-shuhs)","adj. causing sexual desire, bawdy Many parents were unhappy with the magazine's salacious material. Root: salac (from Latin salax, meaning “lustful”)"
"Define: importune (im-pour-chewn)","v. to beg persistently Kate importuned her father every day to teach her how to sail. Prefix: im- (from Latin, meaning “in” or “into”); Root: port (from Latin portus, meaning “harbor” or “haven”)"
"Define: impregnable (im-preg-nuh-bul)","adj. able to withstand attack The fortress was surrounded by a moat so as to make it impregnable. Prefix: im- (from Latin, meaning “not”); Root: pregn (from Latin prehendere, meaning “to seize”); Suffix: -able (from Latin, meaning “capable of”)"
"Define: daft (daft)","adj. mad, crazy adj. foolish The daft man was walking about the room conversing with himself."
"Define: solemn (sol-uhm)","adj. deeply earnest, grave adj. of a very serious nature; gloomy Carter's solemn voice made his family suspect that a tragedy had occurred. Root: solemn (from Latin sollemnis, meaning “customary” or “ceremonial”)"
"Define: impromptu (im-promp-too)","adj. spontaneously done without preparation During a lull in the live broadcast, the host began an impromptu dance number with some of the contestants. Prefix: im- (from Latin, meaning “in” or “into”); Root: prompt (from Latin promptus, meaning “ready”)"
"Define: impudent (im-pyuh-dent)","adj. improperly disrespectful The girl was forced to apologize in front of the class for her impudent attitude towards her teachers. Prefix: im- (from Latin, meaning “not”); Root: pud (from Latin pudere, meaning “to feel shame”)"
"Define: bedizen (bih-dahy-zuhn)","v. to adorn, usually in a poorly conceived or tasteless manner Paula was bedizened with gaudy decorations. Prefix: be- (from Old English, meaning “on all sides”); Root: dizen (from Middle Dutch dijsen, meaning “to dress”)"
"Define: incense (in-sense)","v. to make angry The class's behavior incensed the teacher to the point that she gave them all extra homework. Prefix: in- (from Latin, meaning “in” or “into”); Root: cens (from Latin incendere, meaning “to set on fire”)"
"Define: volition (voh-lish-uhn)","n. a conscious decision or the capability of choosing n. willingness Though his friends had egged him on, it was determined that Pat stole the sunglasses of his own volition. Root: vol (from Latin velle, meaning “to wish”)"
"Define: tamp (tamp)","v. to plug v. to drive in or down by a series of blows They tamped down the soil around the base of the new sapling."
"Define: steel (steel)","v. to make hard, strong or obdurate v. to fill with determination John realized that he would lose the chess match and steeled himself for disappointment."
"Name the vocab term: adj. felt in one's stomach adj. emotional, rather than intellectual Hint: starts with “v”","visceral synonyms: habitual, instinctive, inherent; affective, gut-level, intuitive His visceral reaction to the news was evident as he clutched his stomach in shock. She had a visceral response to the film that left her in tears."
"Fill in the blank: The students gathered in the ________ for their lunchtime meal. Hint: Starts with “r” and means “a dining hall, especially in an institution”.","refectory refectory (rih-fek-tuh-ree) n. a room or dining area where meals are served"
"Name the vocab term: adj. frenzied or frantic Hint: starts with “f”","frenetic synonyms: anxious, hysterical, rattled, chaotic, wild The frenetic pace of the city made it hard to relax."
"Fill in the blank: The scientist measures the ________ particles with great precision. Hint: Starts with “i” and means “extremely small”.","infinitesimal infinitesimal (in-fin-ih-tess-uh-muhl) adj. immeasurably smalladj. immeasurably small"
"Name the vocab term: adj. cheerfully optimistic Hint: starts with “s”","sanguine synonyms: happy, cheerful, hopeful, buoyant Despite the challenges ahead, she remained sanguine about the future."
"Fill in the blank: She cast a ________ glance at the hidden documents on the table. Hint: Starts with “f” and means “attempting to avoid notice; secretive”.","furtive furtive (fur-tiv) adj. secretive, sly"
"Name the vocab term: n. a false statement; slander, aspersion Hint: starts with “c”","calumny synonyms: misrepresentations, slanderous, defamation, libel The politician's career was ruined by a calumny that spread quickly through the media."
"Fill in the blank: Her ________ routine included a morning jog and a cup of coffee. Hint: Starts with “q” and means “occurring daily; commonplace”.","quotidian quotidian (kwoh-tid-ee-uhn) adj. everyday, commonplace, habitual"
"Name the vocab term: adj. causing sexual desire, bawdy Hint: starts with “s”","salacious synonyms: erotic, lecherous, raunchy, lascivious, risqué The novel was criticized for its salacious content that appealed to base desires."
"Fill in the blank: He would ________ his friends for favors whenever he needed help. Hint: Starts with “i” and means “to persistently request”.","importune importune (im-pour-chewn) v. to beg persistently"
"Name the vocab term: adj. able to withstand attack Hint: starts with “i”","impregnable synonyms: impenetrable, unassailable, invulnerable, secure The fortress was built to be impregnable, with walls that could withstand any assault."
"Fill in the blank: His ________ idea to swim in the icy lake in winter raised eyebrows. Hint: Starts with “d” and means “silly or foolish”.","daft daft (daft) adj. mad, crazy adj. foolish"
"Name the vocab term: adj. deeply earnest, grave adj. of a very serious nature; gloomy Hint: starts with “s”","solemn synonyms: quiet, serious, grave, somber, earnest, thoughtful The solemn ceremony honored those who had sacrificed their lives. His solemn expression indicated he understood the seriousness of the situation."
"Fill in the blank: The ________ speech he gave was surprisingly well-received. Hint: Starts with “i” and means “done without preparation”.","impromptu impromptu (im-promp-too) adj. spontaneously done without preparation"
"Name the vocab term: adj. improperly disrespectful Hint: starts with “i”","impudent synonyms: cocky, insolent, overbearing, brazen, audacious His impudent remarks during the meeting shocked everyone."
"Fill in the blank: She chose to ________ herself in bright colors and flashy accessories. Hint: Starts with “b” and means “to dress in a showy or tasteless way”.","bedizen bedizen (bih-dahy-zuhn) v. to adorn, usually in a poorly conceived or tasteless manner"
"Name the vocab term: v. to make angry Hint: starts with “i”","incense synonyms: fire up, enrage, infuriate, provoke The rude comment served to incense her, making her visibly upset."
"Fill in the blank: He made the decision of his own ________, choosing to pursue a different career path. Hint: Starts with “v” and means “the power of choosing or willing”.","volition volition (voh-lish-uhn) n. a conscious decision or the capability of choosing n. willingness"
"Name the vocab term: v. to plug v. to drive in or down by a series of blows Hint: starts with “t”","tamp synonyms: fill, jam; ram, butt, drive, pack, compress She used a tool to tamp the soil around the newly planted flowers. He had to tamp the stakes firmly into the ground to secure the tent."
"Fill in the blank: He ________ himself for the difficult conversation ahead. Hint: Starts with “s” and means “hardened oneself in preparation”.","steeled steel (steel) v. to make hard, strong or obdurate v. to fill with determination"
"Define: gossamer (goss-uh-murr)","adj. delicate, insubstantial, flimsy The gossamer kite broke in two at the first gust of wind. Root: gos (from Middle English gos, meaning “goose”) and somer (from Middle English somer, meaning “summer”)"
"Define: inimical (ih-nim-ih-kuhl)","adj. hostile, unfriendly The Antarctic is inimical to life. Prefix: in- (from Latin, meaning “not”), Root: amic (from Latin amicus, meaning “friend”)"
"Define: vainglorious (veyn-glawr-ee-us)","adj. boastful of one's accomplishments or accolades; vain Dave's vainglorious attitude unfortunately overshadowed his considerable accomplishments. Prefix: vain- (from Latin vanus, meaning “empty”), Root: glor (from Latin gloria, meaning “glory”), Suffix: -ious (from Latin, meaning “full of”)"
"Define: pariah (puh-rahy-uh)","n. an outcast; a rejected or despised person Alex left the party feeling like a pariah. Root: paraiyan (from Tamil paraiyan, meaning “drummer”)"
"Define: indelible (in-del-uh-buhl)","adj. impossible to remove or to forget The memory of that day had become indelible in his mind. Prefix: in- (from Latin, meaning “not”), Root: del (from Latin delere, meaning “to destroy”), Suffix: -ible (from Latin, meaning “able to”)"
"Define: byzantine (biz-uhn-teen)","adj. complex, intricate, labyrinthine The byzantine rules of the card game confused everyone. Root: Byzantium (from the ancient Greek city name Byzantion)"
"Define: inveigh (in-vey)","v. to attack verbally, to deprecate The protesters were inveighing against government policies. Prefix: in- (from Latin, meaning “against”), Root: veigh (from Latin vehere, meaning “to carry”)"
"Define: peccadillo (pek-uh-dil-oh)","n. slight infraction of rules, a minor sin As a society, we tend to take our politicians to task over peccadilloes while overlooking the failings of our political system as a whole. Root: peccare (from Latin, meaning “to sin”), Suffix: -illo (diminutive suffix in Spanish, meaning “small”)"
"Define: panegyric (pan-ih-djirr-ik)","n. a formal and elaborate public compliment; praise, laudation The mayor extended a panegyric to all of the citizens who were fighting overseas. Root: pan (from Greek pan, meaning “all”), Root: agyris (from Greek agyris, meaning “assembly”)"
"Define: quaff (kwaf)","v. to drink deeply; to intoxicate oneself with great enjoyment He quaffed the pint in a three hearty gulps."
"Define: inchoate (in-koe-it)","adj. not fully formed An inchoate sense of duty is no substitute for a sober assessment of the hardships that lie ahead if you decide to follow your husband to his remote post. Prefix: in- (from Latin, meaning “in”), Root: coh (from Latin cohum, meaning “yoke”)"
"Define: essay (n., ess-ey; v., ess-ey)","n. an attempt or trial v. to test, try, experiment, investigate My frequent essays at piano playing have only met with failure. Root: essai (from Old French, meaning “trial” or “attempt”)"
"Define: incisive (in-sahy-siv)","adj. quick to understand or perceptive adj. clearly expressed; decisive The boy's incisive mind allowed him to excel in all of his classes. Prefix: in- (from Latin, meaning “into”), Root: cis (from Latin caedere, meaning “to cut”), Suffix: -ive (from Latin, meaning “having the nature of”)"
"Define: incorrigible (in-kor-ih-juh-bull)","adj. unable to be corrected or reformed Incorrigible juvenile offenders are sent to a special program within the prison. Prefix: in- (from Latin, meaning “not”), Root: corrig (from Latin corrigere, meaning “to correct”), Suffix: -ible (from Latin, meaning “able to”)"
"Define: inculcate (ing-cull-kate)","v. to teach by frequent repetition Throughout the year, the faculty is expected to inculcate the essentials of fire safety in the students. Prefix: in- (from Latin, meaning “into”), Root: culc (from Latin calcare, meaning “to tread”)"
"Define: indigenous (in-didj-ih-nuss)","adj. originating in a certain place The Aborigines are a people indigenous to Australia. Prefix: in- (from Latin, meaning “in”), Root: gen (from Latin gignere, meaning “to beget”), Suffix: -ous (from Latin, meaning “full of”)"
"Define: indigent (in-dih-djunt)","adj. extremely poor The organization's mission was to provide educational resources to indigent women in various countries. Prefix: in- (from Latin, meaning “in”), Root: dig (from Latin egere, meaning “to need”)"
"Define: indolent (in-dull-uhnt)","adj. habitually lazy adj. causing little or no pain The company's owner decided to fire the most indolent workers first. Prefix: in- (from Latin, meaning “not”), Root: dol (from Latin dolere, meaning “to feel pain”), Suffix: -ent (from Latin, meaning “being”)"
"Define: redolent (red-uhl-uhnt)","adj. fragrant, suggestive, or evocative The fraternity house was redolent of stale beer and day-old pizza. Prefix: re- (from Latin, meaning “again”), Root: dol (from Latin olere, meaning “to smell”), Suffix: -ent (from Latin, meaning “being”)"
"Define: provident (prov-ih-duhnt)","adj. looking to the future adj. frugal The young couple's provident financial planning was an asset to them later in life. Prefix: pro- (from Latin, meaning “forward”), Root: vid (from Latin videre, meaning “to see”), Suffix: -ent (from Latin, meaning “being”)"
"Name the vocab term: adj. delicate, insubstantial, flimsy Hint: starts with “g”","gossamer synonyms: thin, delicate, light, fragile, airy, ethereal The gossamer fabric of her dress fluttered in the breeze."
"Fill in the blank: The ________ comments from the critics hurt the artist deeply. Hint: Starts with “i” and means “harmful or hostile”.","inimical inimical (ih-nim-ih-kuhl) adj. hostile, unfriendly"
"Name the vocab term: adj. boastful of one's accomplishments or accolades; vain Hint: starts with “v”","vainglorious synonyms: immodest, self-absorbed, conceited, narcissistic His vainglorious speech about his achievements bored the audience."
"Fill in the blank: After the scandal, he became a ________ in his community. Hint: Starts with “p” and means “an outcast”.","pariah pariah (puh-rahy-uh) n. an outcast; a rejected or despised person"
