Front,Back
"Name the vocab term: n. extreme poverty or destitution Hint: starts with “p”","penury synonyms: squalor, deprivation, destitution, impoverishment, hardship The charity aims to alleviate the penury faced by many families in the community."
"Fill in the blank: During the meeting, he went off on a ______ about his vacation plans, losing track of the main agenda. Hint: Starts with “t” and means “a completely different line of thought”.","tangent tangent (tan-djunt) n. a different topic"
"Name the vocab term: n. rule by scientists Hint: starts with “t”","technocracy synonyms: scientific rule, technological governance, expert management In a technocracy, decisions are made based on scientific data and expertise rather than politics."
"Fill in the blank: The ______ of the repetitive tasks made him dread going to work each day. Hint: Starts with “t” and means “the state of being boring or monotonous”.","tedium tedium (tee-dee-um) n. dullness n. the feeling of being bored"
"Name the vocab term: adj. sticking strongly to something adj. having greater than average longevity adj. stubborn Hint: starts with “t”","tenacious synonyms: adamant, persistent, determined, resolute, unyielding The tenacious grip of the adhesive ensured that the tiles stayed firmly in place. His tenacious attitude made it difficult for him to accept any form of criticism."
"Fill in the blank: Her ______ nature made her hesitant to speak in public. Hint: Starts with “t” and means “showing fear or lack of confidence”.","timorous timorous (tim-er-us) adj. easy to frighten"
"Name the vocab term: n. a long, angry rant Hint: starts with “t”","tirade synonyms: abuse, outburst, berating, diatribe, rant, harangue His tirade against the new policy left everyone in the room stunned."
"Fill in the blank: After the long meeting, he felt ______ and needed a break. Hint: Starts with “t” and means “sluggish or inactive”.","torpid torpid (tore-pid) adj. lacking physical or mental energy"
"Name the vocab term: n. a state of low physical or mental energy Hint: starts with “t”","torpor synonyms: dormancy, apathy, stagnation, lethargy, indifference During the heat of summer, many people experience a sense of torpor."
"Fill in the blank: The ______ sun beat down on the desert, making it unbearable to walk outside. Hint: Starts with “t” and means “intensely hot or passionate”.","torrid torrid (tore-id) adj. extremely hot adj. having intense emotion or passion"
"Name the vocab term: n. absolute, dictatorial control by the government Hint: starts with “t”","totalitarianism synonyms: dictatorship, tyranny, authoritarianism, oppression, despotism, regime In a totalitarianism, the state exerts complete control over all aspects of public and private life."
"Fill in the blank: The dog was surprisingly ______, following commands without hesitation. Hint: Starts with “t” and means “easily controlled or managed”.","tractable tractable (track-tuh-bul) adj. easy to handle or control adj. easily shaped"
"Name the vocab term: adj. different from the norm; aberrant Hint: starts with “a”","anomalous synonyms: unusual, abnormal, strange, atypical, irregular, aberrant The anomalous results of the experiment prompted further investigation."
"Fill in the blank: His ______ toward injustice drove him to become an activist. Hint: Starts with “a” and means “a strong feeling of dislike”.","antipathy antipathy (an-tip-uh-thee) n. aversion; loathing"
"Name the vocab term: v. to approve Hint: starts with “a”","approbate synonyms: affirm, accept, endorse, sanction, ratify The committee will approbate the new policy after reviewing its implications."
"Fill in the blank: The conquerors sought to ______ the land for their own use. Hint: Starts with “a” and means “to take for one's own use”.","appropriate appropriate (uh-pro-pree-ehyt) v. to take by force v. to assign for a certain purpose"
"Name the vocab term: n. a person chosen to solve a dispute Hint: starts with “a”","arbiter synonyms: mediator, negotiator, referee, judge, authority, adjudicator The arbiter was respected for his fair judgment in complex cases."
"Fill in the blank: She is considered the ______ of a successful entrepreneur. Hint: Starts with “a” and means “a typical example or original model”.","archetype archetype (are-kih-tahyp) n. a typical example of something n. the original on which something else is modeled"
"Define: ardor (are-der)","n. feeling of great warmth or intensity His sense of justice manifests itself in the ardor with which he throws himself into his legal work. Root: ard (from Latin ardere, meaning “to burn”)"
"Define: arduous (ar-djew-us)","adj. requiring mental or physical strain adj. demanding The beach was practically empty, as reaching it entailed an arduous journey through a bramble thicket. Root: ard (from Latin arduus, meaning “steep” or “difficult”)"
"Define: aria (are-ee-uh)","n. a solo vocal piece in an opera During her aria, the opera singer expressed her character's sorrow to the audience with great skill. Root: ari (from Italian aria, meaning “air” or “melody”)"
"Define: arid (air-id)","adj. extremely dry adj. lacking spirit or vitality The arid climate of the desert is ideal for plants that do not require much water, such as cacti. Root: arid (from Latin aridus, meaning “dry”)"
"Define: sundry (suhn-dree)","adj. various, miscellaneous, separate The sundry items at the garage sale ranged from antique to almost brand new. Root: sund (from Old English syndrig, meaning “separate” or “distinct”)"
"Define: reprise (ruh-preez)","n. a repetition of an action v. to repeat or resume The reprise of the song had the audience dancing in the aisles. Prefix: re- (from Latin, meaning “again”); Root: prise (from Latin prehendere, meaning “to take”)"
"Define: harrow (hair-oh)","v. to distress, torment Any talk of layoffs would always leave the entire division harrowed and unable to focus on their work. Root: harrow (from Old English hergian, meaning “to plunder”)"
"Define: sardonic (sahr-don-ik)","adj. cynical, mocking The class clown's sardonic remark landed him in detention. Root: sardon (from Greek sardonios, meaning “bitter or scornful laughter”)"
"Define: subterfuge (suhb-ter-fyoodj)","n. a deliberate deception to avoid a consequence Policemen who stop drunk drivers can see right through the subterfuge of hastily chewing a piece of gum. Prefix: sub- (from Latin, meaning “under”); Root: fug (from Latin fugere, meaning “to flee”)"
"Define: axiom (ack-see-um)","n. a generally accepted truth In math class, we learned about the different axioms we could use to develop geometric proofs. Root: axi (from Greek axios, meaning “worthy”)"
"Define: controvert (kon-truh-vurt)","v. to deny the truth of Recent experiments seem to controvert the predictions of previous theories. Prefix: contra- (from Latin, meaning “against”); Root: vert (from Latin vertere, meaning “to turn”)"
"Define: progeny (prodj-uh-nee)","n. one born or derived from another; an offspring or descendent n. a product of creative effort That family claims to be the progeny of the king of France, but they refuse to submit to a DNA test to prove their bloodline. Prefix: pro- (from Latin, meaning “forth”); Root: gen (from Latin gignere, meaning “to beget”)"
"Define: potentate (poht-n-teyt)","n. one with absolute power to rule; a monarch While the potentate sipped wine, the peasants toiled in the field. Root: potent (from Latin potentem, meaning “powerful”)"
"Define: cardinal (kahr-dn-uhl)","adj. of paramount importance adj. dark red At the graduation speech, the valedictorian gave them cardinal rules to live by. Root: cardin (from Latin cardinalis, meaning “hinge” or “pivotal”)"
"Define: hidebound (hahyd-bound)","adj. rigid, dry, unmoving The hidebound rules of organized religion have never appealed to me much. Root: hide (from Old English hyd, meaning “skin”); Root: bound (from Old English bindan, meaning “to bind”)"
"Define: chary (chair-ee)","adj. very cautious; not giving or spending freely adj. shy Joe was chary of his praise for his daughters, but when he did congratulate them, they beamed. Root: char (from Old English cearu, meaning “care”)"
"Define: arabesque (air-uh-besk)","n. a complex, ornate design The kimono was trimmed with an arabesque of tiny yellow curlicues. Root: arab (from French arabesque, meaning “in the Arabic style”)"
"Define: rapturous (rap-cher-uhs)","adj. expressing great pleasure or enthusiasm The presidential decree was greeted with rapturous applause. Root: rapt (from Latin raptus, meaning “seized”); Suffix: -ous (from Latin, meaning “full of”)"
"Define: amalgamate (uh-mal-guh-meyt)","v. to combine several elements into a whole; to blend Our county will amalgamate with the neighboring county in order to cut administrative costs. Root: amalgam (from Medieval Latin amalgama, meaning “alloy of mercury”)"
"Define: prattle (prat-uhl)","v. to babble or speak foolishly The confused student prattled for a few minutes before sitting back down. Root: prat (from Middle Low German praten, meaning “to talk”)"
"Name the vocab term: n. feeling of great warmth or intensity Hint: starts with “a”","ardor synonyms: admiration, passion, fervor, zeal, enthusiasm His ardor for the project inspired everyone on the team."
"Fill in the blank: The hike was ______, demanding both stamina and determination. Hint: Starts with “a” and means “requiring great effort”.","arduous arduous (ar-djew-us) adj. requiring mental or physical strain adj. demanding"
"Name the vocab term: n. a solo vocal piece in an opera Hint: starts with “a”","aria synonyms: descant, hymn, song, melody, solo, duet The soprano's aria captivated the audience with its emotional depth."
"Fill in the blank: The presentation was so ______ that many attendees struggled to stay awake. Hint: Starts with “a” and means “extremely dry”.","arid arid (air-id) adj. extremely dry adj. lacking spirit or vitality"
"Name the vocab term: adj. various, miscellaneous, separate Hint: starts with “s”","sundry synonyms: assorted, different, diverse, varied, disparate The shop sells sundry items, from books to kitchenware."
"Fill in the blank: The composer decided to include a ______ of the main theme in the final act. Hint: Starts with “r” and means “a repeated passage or action”.","reprise reprise (ruh-preez) n. a repetition of an action n. to repeat or resume"
"Name the vocab term: v. to distress, torment Hint: starts with “h”","harrow synonyms: depredate, harass, torment, afflict, trouble The memories of the event continued to harrow him for years."
"Fill in the blank: His ______ humor often left others feeling uncomfortable. Hint: Starts with “s” and means “mocking or cynical”.","sardonic sardonic (sahr-don-ik) adj. cynical, mocking"
"Name the vocab term: n. a deliberate deception to avoid a consequence Hint: starts with “s”","subterfuge synonyms: cheating, dishonesty, dissimulation, deceit, trickery, evasion She used subterfuge to evade the question and shift the conversation."
"Fill in the blank: It is an ______ that hard work leads to success. Hint: Starts with “a” and means “a self-evident truth”.","axiom axiom (ack-see-um) n. a generally accepted truthsynonyms: principle, fundamental, maxim, truth, postulate"
"Name the vocab term: v. to deny the truth of Hint: starts with “c”","controvert synonyms: oppose, argue, deny, dispute, refute, challenge, contradict Many experts tried to controvert the claim with counter-evidence."
"Fill in the blank: His latest painting was the ______ of years of artistic development. Hint: Starts with “p”; means “offspring, descendant, or a product of creative effort”.","progeny progeny (prodj-uh-nee) n. one born or derived from another; an offspring or descendent n. a product of creative effort"
"Name the vocab term: n. one with absolute power to rule; a monarch Hint: starts with “p”","potentate synonyms: autocrat, chief, leader, sovereign, ruler, despot The potentate of the small kingdom wielded immense influence over his subjects."
"Fill in the blank: The ______ dress added a vibrant touch to the festive decorations. Hint: Starts with “c” and means “most important or dark red”.","cardinal cardinal (kahr-dn-uhl) adj. of paramount importance adj. dark red"
"Name the vocab term: adj. rigid, dry, unmoving Hint: starts with “h”","hidebound synonyms: fixed, immovable, strict, inflexible, unyielding, conservative The hidebound policies of the organization stifled innovation."
"Fill in the blank: His ______ demeanor made it difficult for him to join in on group discussions. Hint: Starts with “c” and means “cautious or reluctant”.","chary chary (chair-ee) adj. very cautious; not giving or spending freely adj. shy"
"Name the vocab term: n. a complex, ornate design Hint: starts with “a”","arabesque synonyms: design, frill, adornment, flourish, ornamentation, embellishment, motif The arabesque patterns on the wall added elegance to the room."
"Fill in the blank: The audience gave a ______ applause at the end of the performance. Hint: Starts with “r” and means “full of great joy or enthusiasm”.","rapturous rapturous (rap-cher-uhs) adj. expressing great pleasure or enthusiasm"
"Name the vocab term: v. to combine several elements into a whole; to blend Hint: starts with “a”","amalgamate synonyms: integrate, combine, merge, fuse, consolidate The two companies decided to amalgamate their resources to improve efficiency."
"Fill in the blank: The children ______ on about their day, oblivious to the time. Hint: Starts with “p” and means “spoke in a foolish or trivial way”.","prattled prattle (prat-uhl) v. to babble or speak foolishly"
"Define: simian (sim-ee-uhn)","adj. relating to apes Humans have many simian characteristics. Root: simia (from Latin, meaning “ape” or “monkey”)"
"Define: precipice (press-uh-piss)","n. a steep rock or cliff face The climber faced the largest precipice of his career. Prefix: pre- (from Latin, meaning “before”); Root: caput (from Latin, meaning “head”)"
"Define: augury (aw-gyuh-ree)","n. divination n. an omen, portent Augury is often performed by observing a crystal ball. Root: augur (from Latin, meaning “soothsayer” or “diviner”)"
"Define: picayune (pik-ee-yoon)","adj. of little value, paltry, petty n. something of little value His craftsmanship wasn't worth a picayune. Root: picaillon (from French, meaning “small coin”)"
"Define: anthropomorphic (an-thruh-puh-mawr-fik)","adj. having human characteristics Many people believe that aliens will be anthropomorphic, but there is no evidence to support that. Root: anthropo (from Greek anthrōpos, meaning “human”); Suffix: -morphic (from Greek morphē, meaning “form” or “shape”)"
"Define: ramify (ram-uh-fahy)","v. to be divided, to branch out The dispute ramified as more factions got involved. Root: ramus (from Latin, meaning “branch”); Suffix: -fy (from Latin facere, meaning “to make”)"
"Define: upbraid (uhp-breyd)","v. to scold sharply, reprimand, or blame Mom upbraided me for not doing the dishes last night. Prefix: up- (from Old English, meaning “up” or “thoroughly”); Root: braid (from Old English bregdan, meaning “to move quickly” or “to weave”)"
"Define: banality (buh-nal-ih-tee)","n. triviality n. something overused and trite The once-funny joke had become a banality in the camp. Root: banal (from French, meaning “commonplace”); Suffix: -ity (from Latin -itas, indicating a state or condition)"
"Define: base (behyss)","adj. immoral adj. made of low quality materials The young man was criticized by his parents for his base, degrading lifestyle. Root: basis (from Greek, meaning “foundation” or “support”)"
"Define: sodden (sod-n)","adj. thoroughly soaked, saturated My clothes were sodden from the rainstorm. Root: sod (from Middle English soden, meaning “boiled”)"
"Define: stolid (stawl-id)","adj. stoic, emotionless People in old-time photographs tend to have stolid expressions. Root: stolidus (from Latin, meaning “dull” or “stupid”)"
"Define: phthisis (thigh-sis)","n. a disease characterized by body-part atrophy (especially of the lungs) His phthisis was interfering with work more every day. Root: phthisis (from Greek, meaning “wasting away” or “consumption”)"
"Define: vintner (vint-ner)","n. one who makes or sells wine In Italy there are a great number of vintners. Root: vin (from Latin vinum, meaning “wine”); Suffix: -er (indicating a person associated with a particular activity)"
"Define: salient (sehy-lee-uhnt)","adj. prominent or conspicuous The cover of the study guide listed its salient features, such as diagnostic and practice exams. Root: salire (from Latin, meaning “to leap”)"
"Define: haughty (haw-tee)","adj. arrogant, snobbish I prefer the company of one or two good friends to a party full of haughty, self-absorbed socialites. Root: haut (from Old French, meaning “high” or “lofty”)"
"Define: blanch (blanch)","v. to whiten or turn pale During the biology dissection, Jennifer blanched and ran out of the room. Root: blanc (from Old French, meaning “white”)"
"Define: inimitable (in-im-ih-tuh-buhl)","adj. incapable of being imitated or duplicated The Broadway debut was a spellbinding performance thanks mainly to the inimitable stamina of the female lead. Prefix: in- (from Latin, meaning “not”); Root: imitari (from Latin, meaning “to imitate”); Suffix: -able (indicating capability or worthiness)"
"Define: accretion (uh-kree-shuhn)","n. growth; increase by successive or gradual addition The accretion of dirt has changed the floor's color. Prefix: ad- (from Latin, meaning “to” or “toward”); Root: crescere (from Latin, meaning “to grow”); Suffix: -tion (indicating an action or process)"
"Define: trenchant (tren-chuhnt)","adj. forceful and effective adj. extremely perceptive The experienced CEO offered trenchant criticisms of the young company. Root: trenchier (from Old French, meaning “to cut”)"
"Define: turgid (tur-djid)","adj. swollen or distended adj. excessively ornate; grandiloquent Marcy's turgid leg was enough to concern her parents. Root: turgere (from Latin, meaning “to swell”)"
"Name the vocab term: adj. relating to apes Hint: starts with “s”","simian synonyms: ape-like, primate, anthropoid The simian characteristics of the monkey were evident in its agile movements."
"Fill in the blank: The climbers stood at the edge of the ______, gazing down at the valley below. Hint: Starts with “p” and means “a steep cliff or dangerous situation”.","precipice precipice (press-uh-piss) n. a steep rock or cliff face"
"Name the vocab term: n. divination n. an omen, portent Hint: starts with “a”","augury synonyms: fortunetelling, forewarning, omen, prophecy The ancient practice of augury involved interpreting the flight patterns of birds. Seeing a black cat was considered an augury of bad luck."
"Fill in the blank: His ______ complaints about the weather were tiresome. Hint: Starts with “p” and means “of little value or importance”.","picayune picayune (pik-ee-yoon) adj. of little value, paltry, petty n. something of little value"
"Name the vocab term: adj. having human characteristics Hint: starts with “a”","anthropomorphic synonyms: humanlike, personified, anthropoidal The anthropomorphic characters in the cartoon made the story more relatable."
"Fill in the blank: The organization began to ______ into various departments to better serve its members. Hint: Starts with “r” and means “to spread or branch out”.","ramify ramify (ram-uh-fahy) v. to be divided, to branch out"
"Name the vocab term: v. to scold sharply, reprimand or blame Hint: starts with “u”","upbraid synonyms: berate, criticize, reprimand, reproach, chastise The manager did not hesitate to upbraid the team for missing the deadline."
"Fill in the blank: The film suffered from ______, offering nothing new to the genre. Hint: Starts with “b” and means “lack of originality”.","banality banality (buh-nal-ih-tee) n. triviality n. something overused and trite"
"Name the vocab term: adj. immoral adj. made of low quality materials Hint: starts with “b”","base synonyms: vulgar, low; shoddy, cheap, inferior, contemptible His base actions shocked everyone who knew him as a moral person. The furniture was so base that it fell apart after just a few months."
"Fill in the blank: The ______ ground made it difficult to walk without slipping. Hint: Starts with “s” and means “thoroughly soaked”.","sodden sodden (sod-n) adj. thoroughly soaked, saturated"
"Name the vocab term: adj. stoic, emotionless Hint: starts with “s”","stolid synonyms: apathetic, indifferent, impassive, unemotional, phlegmatic His stolid demeanor made it hard for others to read his feelings."
"Fill in the blank: ______ was once a common cause of death before the advent of antibiotics. Hint: Starts with “p” and means “a wasting disease, especially tuberculosis”.","Phthisis phthisis (thigh-sis) n. a disease characterized by body-part atrophy (especially of the lungs)"
"Name the vocab term: n. one who makes or sells wine Hint: starts with “v”","vintner synonyms: winemaker, wine merchant, brewer, oenologist The vintner proudly showcased his finest bottles at the annual wine festival."
"Fill in the blank: Her ______ features made her stand out in the crowd. Hint: Starts with “s” and means “most noticeable or important”.","salient salient (sehy-lee-uhnt) adj. prominent or conspicuous"
"Name the vocab term: adj. arrogant, insolent Hint: starts with “h”","haughty synonyms: egotistic, conceited, snobbish, disdainful, supercilious His haughty attitude alienated many of his colleagues."
"Fill in the blank: She began to ______ at the thought of giving a speech in front of the audience. Hint: Starts with “b” and means “to turn pale”.","blanch blanch (blanch) v. to whiten or turn pale"
"Name the vocab term: adj. incapable of being imitated or duplicated Hint: starts with “i”","inimitable synonyms: unique, matchless, peerless, singular, distinctive, incomparable Her inimitable style made her a fashion icon."
"Fill in the blank: The ______ of knowledge over the years has made him an expert in his field. Hint: Starts with “a” and means “a gradual increase or growth”.","accretion accretion (uh-kree-shuhn) n. growth; increase by successive or gradual addition"
"Name the vocab term: adj. forceful and effective adj. extremely perceptive Hint: starts with “t”","trenchant synonyms: sharp, observant, incisive, keen, astute His trenchant remarks during the debate swayed many opinions. She had a trenchant understanding of the complex issues at hand."
"Fill in the blank: The ______ river overflowed its banks after the heavy rainfall. Hint: Starts with “t” and means “swollen or pompous”.","turgid turgid (tur-djid) adj. swollen or distended adj. excessively ornate; grandiloquent"
"Define: belabor (buh-lehy-burr)","v. to speak or worry about something at length v. to attack She was known to belabor the point when it came to environmentalism, so we tried not to bring it up. Prefix: be- (intensive prefix from Old English, meaning 'thoroughly')"
"Define: belie (buh-lahy)","v. to give a false impression v. to reveal as untrue She greeted us with a smile, but the redness of her eyes belied her cheerful attitude. Prefix: *be-* (intensive prefix from Old English, meaning 'thoroughly')"
"Define: benign (buh-nahyn)","adj. pleasant adj. not harmful, especially to health The doctor's benign manner endeared him to patients. Prefix: bene- (from Latin, meaning 'well' or 'good')"
"Define: bent (bent)","n. a natural talent n. an inclination or interest Lisa had a true bent for working with animals, so people often told her to consider a career as a veterinarian. Root: bend (from Old English bendan, meaning 'to bend')"
"Define: berate (bih-rate)","v. to scold or criticize angrily Jane's boss was so mean that he berated her for even the smallest mistakes. Prefix: be- (intensive prefix from Old English, meaning 'thoroughly')"
"Define: blithe (blahyth)","adj. carefree and happy When he lost his job, John struggled to maintain his blithe and optimistic attitude toward life. Root: blithe (from Old English blīþe, meaning 'joyous' or 'kind')"
"Define: capacious (kuh-pay-shuss)","adj. having a lot of room The capacious living room often impressed their guests. Root: capaci- (from Latin capax, meaning 'able to hold much'); Suffix: -ous (forming adjectives, meaning 'full of')"
"Define: capitulate (kuh-pitch-ih-lehyt)","v. to surrender; to give in The mother capitulated after hours of tantrums and finally bought her son the toy. Root: capit- (from Latin capitulum, meaning 'a little head' or 'chapter')"
"Define: caprice (kuh-prees)","n. a sudden desire Her decision to come along on the trip was a mere caprice; she had never expressed a desire to come before then. Root: capr- (from Latin caper, meaning 'goat', suggesting whimsical or sudden change)"
"Define: carp (karp)","v. to raise trivial objections n. a type of fish She hated when her coworkers carped about the minimal work they had to do. Root: carp (from Old Norse karpa, meaning 'to boast' or 'to nag')"
"Define: cascade (kass-kehyd)","n. a waterfall n. something that falls or progresses like a waterfall I knew the wire was badly damaged when a cascade of sparks fell the moment I touched it. Root: casc- (from Latin cascare, meaning 'to fall')"
"Define: castigate (kast-ih-gehyt)","v. to give harsh criticism v. to punish harshly His parents castigated him for his bad grades by taking away his car keys. Root: castig- (from Latin castigare, meaning 'to chastise')"
"Define: caustic (kaw-stick)","adj. capable of corroding adj. harsh or sarcastic in tone The comedian was known for his caustic jokes about political scandals. Root: caust- (from Greek kaustikos, meaning 'burning')"
"Define: censure (sen-shur)","n. strong disapproval, esp. official disapproval v. to condemn The professor was censured by the administration for his controversial and politically incorrect lectures. Root: cens- (from Latin censere, meaning 'to assess' or 'to judge')"
"Define: chauvinism (show-vuh-niz-um)","n. fanatical patriotism n. prejudiced support of one's own group, sex, or cause My father's chauvinism was characterized by a rather dim view of other races. Suffix: -ism (forming nouns, indicating a belief or principle)"
"Define: chimera (kahy-mere-uh)","n. a creature possessing the body parts of different animals n. a fanciful mental illusion The ability to make easy money is a chimera; it only works until the next economic downturn. Root: chimera (from Greek khimaira, meaning 'a mythological creature')"
"Define: collusion (kuh-loo-zhun)","n. a conspiracy or secret plot Acting in collusion with several high officials, the rebels completed the government takeover successfully. Prefix: col- (variant of com-, meaning 'together'); Root: lud- (from Latin ludere, meaning 'to play')"
"Define: complacent (kum-plehy-sunt)","adj. satisfied and thus not wanting to improve Kate became complacent after years of success as a model and so was unprepared when younger women challenged her position at the top. Prefix: com- (from Latin, meaning 'with' or 'together'); Root: plac- (from Latin placere, meaning 'to please')"
"Define: complaisant (kum-plehy-sunt)","adj. eager to please Although usually argumentative, Paul is surprisingly complaisant with his girlfriend. Prefix: com- (from Latin, meaning 'with' or 'together'); Root: plais- (from Latin placere, meaning 'to please')"
"Define: concise (kun-sayhs)","adj. brief; able to express a lot in few words Before the show, the director gave a concise introduction that explained his reasons for getting involved in the production. Prefix: con- (from Latin, meaning 'together'); Root: cis- (from Latin caedere, meaning 'to cut')"
"Name the vocab term: v. to speak or worry about something at length v. to attack Hint: starts with “b”","belabor synonyms: dwell on, repeat; invade, assail, harp on, reiterate, bombard He tends to belabor his point, making discussions unnecessarily long. The critic did not hesitate to belabor the flaws in the new film."
"Fill in the blank: Her smile seemed to ______ her true feelings of sadness. Hint: Starts with “b” and means “to give a false impression of”.","belie belie (buh-lahy) v. to give a false impression v. to reveal as untrue"
"Name the vocab term: adj. pleasant adj. not harmful, especially to health Hint: starts with “b”","benign synonyms: amiable, friendly, gentle; harmless, innocuous The benign atmosphere of the garden made it a perfect spot for relaxation. The doctor assured her that the tumor was benign."
"Fill in the blank: She has a ______ for music, playing multiple instruments with ease. Hint: Starts with “b” and means “a natural talent or inclination”.","bent bent (bent) n. a natural talent n. an inclination or interest"
"Name the vocab term: v. to scold or criticize angrily Hint: starts with “b”","berate synonyms: abuse, discipline, rebuke, reprimand, chastise The coach berated the players for their lack of effort during the game."
"Fill in the blank: Her ______ spirit brought joy to everyone around her. Hint: Starts with “b” and means “carefree and cheerful”.","blithe blithe (blahyth) adj. carefree and happy"
"Name the vocab term: adj. having a lot of room Hint: starts with “c”","capacious synonyms: spacious, roomy, expansive, ample, extensive, vast The capacious trunk of the car easily accommodated all the luggage."
"Fill in the blank: After weeks of negotiations, the company decided to ______ to the union's demands. Hint: Starts with “c” and means “to surrender or give in”.","capitulate capitulate (kuh-pitch-ih-lehyt) v. to surrender; to give in"
"Name the vocab term: n. a sudden desire Hint: starts with “c”","caprice synonyms: fancy, impulse, whim, inclination, whimsy His decision to travel was a caprice, inspired by a spontaneous thought."
"Fill in the blank: She began to ______ about the details of the plan, which frustrated the team. Hint: Starts with “c” and means “to complain or find fault continually”.","carp carp (karp) v. to raise trivial objections n. a kind of fish"
