Front,Back
"Define: perturb (purr-turb)","v. to disturb or cause disorder, esp. in one's mental state Even her sleep was perturbed by her obsession over her credit card debt. Prefix: per- (from Latin, meaning “through” or “thoroughly”); Root: turb (from Latin turbare, meaning “to disturb”)"
"Define: placate (play-kate)","v. to ease another's anger Lewis attempted to placate the angry woman whose car had been hit, but she continued screaming and pacing back and forth. Root: plac (from Latin placare, meaning “to please” or “to soothe”)"
"Define: placid (plass-id)","adj. free from disturbance There currently reigns a placid atmosphere at City Hall, but don't expect it to last much longer. Root: plac (from Latin placidus, meaning “calm” or “peaceful”)"
"Define: pivotal (piv-uh-tul)","adj. of crucial importance The audience was enraged when the film reel broke during a pivotal scene in the movie. Root: pivot (from French pivot, meaning “axis or shaft”)"
"Define: pragmatic (prag-mat-ick)","adj. guided by practical experience and observation Her pragmatic attitude often put her at odds with her idealistic peers, whom she called unrealistic and naive. Root: pragmat (from Greek pragma, meaning “deed or act”)"
"Define: predilection (pred-ih-leck-shun)","n. preference; a strong liking for He had a predilection for expensive cars that was hard on his wallet. Prefix: pre- (from Latin, meaning “before”); Root: dilect (from Latin diligere, meaning “to love” or “to choose”)"
"Define: preside (prih-zahyd)","v. to be in a position of authority over a group The newly-elected president presided over the first meeting of the council in September. Prefix: pre- (from Latin, meaning “before”); Root: sid (from Latin sedere, meaning “to sit”)"
"Define: prevaricate (pruh-vair-ih-kate)","v. to be deliberately ambiguous in order to hide the truth; to lie The guest chose to prevaricate by answering the host's questions with unrelated anecdotes. Prefix: pre- (from Latin, meaning “before”); Root: varic (from Latin varicare, meaning “to straddle” or “to walk crookedly”)"
"Define: probity (pro-bih-tee)","n. honesty and decency The group chose Eduardo to represent them, not only because he was the eldest, but because he had shown the most probity during their discussions. Root: prob (from Latin probus, meaning “good or honest”)"
"Name the vocab term: adj. casually unconcerned Hint: starts with “n”","nonchalant synonyms: easygoing, careless, indifferent, unconcerned The student remained nonchalant despite the looming exam."
"Fill in the blank: The pendulum began to ______ steadily after being released. Hint: Starts with “o” and means “to swing back and forth”.","oscillate oscillate (oss-ih-lehyt) v. to move or swing from side to side v. to waver between conflicting positions"
"Name the vocab term: adj. intended to impress adj. characterized by pretension Hint: starts with “o”","ostentatious synonyms: showy, flashy, pretentious, flamboyant, extravagant His ostentatious display of wealth drew unwanted attention. She wore an ostentatious gown that outshone everyone at the party."
"Fill in the blank: She felt ______ after hearing the unsettling news. Hint: Starts with “o” and means “overly elaborate or agitated”.","overwrought overwrought (oh-vur-rawt) adj. deeply agitated or anxious"
"Name the vocab term: adj. of a peaceful nature adj. promoting peace and conflict resolution Hint: starts with “p”","pacific synonyms: soothing, peaceful, conciliatory, calm, tranquil The pacific tone of the speaker calmed the restless crowd. Her pacific approach to conflict resolution was admirable."
"Fill in the blank: The dish was surprisingly ______, even for the picky eater. Hint: Starts with “p” and means “pleasant to taste or acceptable”.","palatable palatable (pal-ih-tuh-bull) adj. acceptable to one's taste or mind"
"Name the vocab term: adj. endless adj. recurring over and over Hint: starts with “p”","perennial synonyms: enduring, perpetual, ceaseless, everlasting, constant The garden was filled with perennial flowers that bloomed each spring. Her perennial optimism inspired those around her."
"Fill in the blank: His ______ shattered the friendship they had built over the years. Hint: Starts with “p” and means “treachery or betrayal”.","perfidy perfidy (per-fih-dee) n. a betrayal of trust"
"Name the vocab term: adj. done as a formality, without attention to detail Hint: starts with “p”","perfunctory synonyms: automatic, habitual, careless, routine, mechanical She gave a perfunctory nod, barely listening to the conversation."
"Fill in the blank: The ______ effects of the pollution were evident in the dying trees. Hint: Starts with “p” and means “causing great harm”.","pernicious pernicious (per-nish-us) adj. harmful; hurtful"
"Name the vocab term: n. acute perception Hint: starts with “p”","perspicacity synonyms: insight, astuteness, discernment, perception, sharpness Her perspicacity allowed her to see through the deception."
"Fill in the blank: The unexpected news began to ______ her usual calm demeanor. Hint: Starts with “p” and means “to disturb or unsettle”.","perturb perturb (purr-turb) v. to disturb or cause disorder, esp. in one's mental state"
"Name the vocab term: v. to ease another's anger Hint: starts with “p”","placate synonyms: soothe, pacify, appease, calm, assuage She tried to placate her friend after their heated argument."
"Fill in the blank: The lake was ______, reflecting the clear blue sky. Hint: Starts with “p” and means “calm and peaceful”.","placid placid (plass-id) adj. free from disturbance"
"Name the vocab term: adj. of crucial importance Hint: starts with “p”","pivotal synonyms: critical, crucial, essential, key, significant His research proved to be pivotal in the development of new treatments."
"Fill in the blank: The committee took a ______ approach to solving the issue. Hint: Starts with “p” and means “dealing with things practically”.","pragmatic pragmatic (prag-mat-ick) adj. guided by practical experience and observation"
"Name the vocab term: n. preference; a strong liking for Hint: starts with “p”","predilection synonyms: inclination, love, fondness, preference, tendency She has a predilection for classic literature over modern novels."
"Fill in the blank: The judge will ______ over the case next week. Hint: Starts with “p” and means “to be in charge of a meeting or event”.","preside preside (prih-zahyd) v. to be in a position of authority over a group"
"Name the vocab term: v. to be deliberately ambiguous in order to hide the truth; to lie Hint: starts with “p”","prevaricate synonyms: deceive, garble, misrepresent, equivocate, lie When questioned, he tended to prevaricate rather than give a straight answer."
"Fill in the blank: Her ______ in all dealings earned her the trust of her colleagues. Hint: Starts with “p” and means “integrity and honesty”.","probity probity (pro-bih-tee) n. honesty and decency"
"Define: proclivity (pro-kliv-ih-tee)","n. a natural inclination Her proclivity for laziness is going to be a problem when we begin the new project. Prefix: pro- (from Latin, meaning “forward” or “in favor of”); Root: cliv (from Latin clivus, meaning “slope”)"
"Define: prodigal (prod-ih-guhl)","adj. lavishly wasteful adj. being generous or giving abundantly n. one who spends recklessly The woman ended up regretting her prodigal lifestyle when she went bankrupt after a few years. Prefix: pro- (from Latin, meaning “forward” or “forth”); Root: ag (from Latin agere, meaning “to drive” or “to lead”)"
"Define: pugnacious (pug-nehy-shuss)","adj. combative in nature The pugnacious young man was eventually suspended for constantly fighting with other students. Root: pugn (from Latin pugnare, meaning “to fight”); Suffix: -acious (from Latin, indicating a tendency or inclination)"
"Define: quandary (kwon-duh-ree)","n. a state of uncertainty, a dilemma After receiving several great offers, I was in a quandary as to which I should accept. Root: quand (possibly from Latin quando, meaning “when” or “at what time”)"
"Define: quash (kwash)","v. to forcibly suppress v. to extinguish The prosecution's star witness quashed any chance the defense had of winning the trial. Root: quassare (from Latin, meaning “to shake” or “to shatter”)"
"Define: quibble (kwib-ul)","v. to evade the truth or importance of an issue by raising trivial objections n. a trivial objection The argument grew even more aggravating when my opponent began to quibble with me over semantics. Root: quib (possibly from Latin qui, meaning “who” or “what”)"
"Define: quiescent (kwee-ess-unt)","adj. being quiet or still The outlying region, usually a quiescent outpost of the empire, was the unlikely origin of the rebellion that would unseat the emperor. Root: quiesc (from Latin quiescere, meaning “to rest” or “to be quiet”); Suffix: -ent (from Latin, indicating an adjective form)"
"Define: rancor (rang-kur)","n. a feeling of deep and bitter anger Once the game ended there was no rancor between the opponents, despite the intensity of their match. Root: ranc (from Latin rancere, meaning “to be rank” or “to stink”)"
"Define: recalcitrant (rih-kal-sih-trunt)","adj. stubborn and defiant of authority Instead of obeying the police's instructions, the protesters became recalcitrant and refused to move. Prefix: re- (from Latin, meaning “back” or “again”); Root: calcitr (from Latin calcitrare, meaning “to kick”)"
"Define: recess (ree-sess)","v. to suspend proceedings n. a break from class or business n. an indented or hollowed-out space The legislative body will recess next week. Prefix: re- (from Latin, meaning “back” or “again”); Root: cess (from Latin cedere, meaning “to go” or “to yield”)"
"Define: redoubtable (rih-dow-tuh-bull)","adj. fearsome or awe-inspiring I knew Mauricio would be a redoubtable opponent after hearing my own coach sing his praises. Prefix: re- (from Latin, meaning “again” or “back”); Root: doubt (from Latin dubitare, meaning “to doubt”); Suffix: -able (from Latin, indicating capability)"
"Define: sagacious (suh-gehy-shuss)","adj. very insightful or shrewd My best friend is quite sagacious, so I know I can always turn to her for wise advice. Root: sagac (from Latin sagax, meaning “wise” or “perceptive”); Suffix: -ious (from Latin, forming adjectives)"
"Define: salubrious (suh-loo-bree-uss)","adj. healthy or health-promoting My new exercise routine has had a salubrious impact on my life. Root: salubr (from Latin salubris, meaning “healthful”); Suffix: -ious (from Latin, forming adjectives)"
"Define: salutary (sal-yuh-tare-ee)","adj. beneficial, esp. relating to health Anti-pollution laws have salutary effects for humans and animals. Root: salut (from Latin salus, meaning “health” or “welfare”); Suffix: -ary (from Latin, forming adjectives)"
"Define: satiate (sehy-she-ehyt)","v. to fill to satisfaction Sasha knew that the small portions served in the cafeteria would not satiate him. Root: sati (from Latin satis, meaning “enough”); Suffix: -ate (from Latin, forming verbs)"
"Define: scruple (skrew-pull)","n. an ethical or moral concern v. to hesitate on moral grounds The man scrupled to tell a blatant lie, but eventually realized that he had no choice. Root: scrupul (from Latin scrupulus, meaning “a small sharp stone” or “anxiety”)"
"Define: sedentary (sed-en-tair-ee)","adj. sitting or seated adj. tending to stay in the same place Ming wanted to quit his sedentary job at the library and become a police officer. Root: sed (from Latin sedere, meaning “to sit”); Suffix: -ary (from Latin, forming adjectives)"
"Define: sediment (sed-ih-munt)","n. matter deposited by some natural process n. settled matter at the bottom of a liquid Kate refused to drink the water from the well when she noticed the sediment at the bottom of the bucket. Root: sed (from Latin sedere, meaning “to sit”); Suffix: -ment (from Latin, indicating a result or means)"
"Define: sordid (sore-did)","adj. dirty or rundown adj. immoral or unethical During the divorce trial, the husband was asked to reveal the sordid details of his affair. Root: sord (from Latin sordere, meaning “to be dirty”)"
"Define: specious (spee-shuss)","adj. plausible but false adj. deceptively pleasing After doing some research of my own, I realized that his argument was specious at best. Root: spec (from Latin specere, meaning “to look” or “to see”); Suffix: -ious (from Latin, forming adjectives)"
"Name the vocab term: n. a natural inclination Hint: starts with “p”","proclivity synonyms: tendency, disposition, leaning, inclination, propensity His proclivity for music was evident from a young age."
"Fill in the blank: His ______ spending habits led to financial trouble. Hint: Starts with “p” and means “wastefully extravagant”.","prodigal prodigal (prod-ih-guhl) adj. lavishly wasteful adj. being generous or giving abundantly adj. one who spends recklessly"
"Name the vocab term: adj. combative in nature Hint: starts with “p”","pugnacious synonyms: hostile, belligerent, combative, aggressive, quarrelsome The pugnacious dog barked at every passerby."
"Fill in the blank: She found herself in a ______ about which job offer to accept. Hint: Starts with “q” and means “a state of uncertainty or doubt”.","quandary quandary (kwon-duh-ree) n. a state of uncertainty, a dilemma"
"Name the vocab term: v. to forcibly suppress v. to extinguish Hint: starts with “q”","quash synonyms: defeat, destroy, squash, suppress, extinguish The court decided to quash the earlier ruling."
"Fill in the blank: Don't ______ over small details; focus on the big picture. Hint: Starts with “q” and means “to argue over trivial matters”.","quibble quibble (kwib-ul) v. to evade the truth or importance of an issue by raising trivial objections n. a trivial objection"
"Name the vocab term: adj. being quiet or still Hint: starts with “q”","quiescent synonyms: inactive, motionless, inert, dormant, still The quiescent village was a stark contrast to the bustling city."
"Fill in the blank: There was no ______ between the players after the game. Hint: Starts with “r” and means “deep-seated bitterness”.","rancor rancor (rang-kur) n. a feeling of deep and bitter anger"
"Name the vocab term: adj. stubborn and defiant of authority Hint: starts with “r”","recalcitrant synonyms: disobedient, resistant, rebellious, obstinate, uncooperative The recalcitrant student refused to follow the school rules."
"Fill in the blank: The committee will ______ for lunch before continuing the discussion. Hint: Starts with “r” and means “a break or hidden place”.","recess recess (ree-sess) v. to suspend proceedings n. a break from class or business n. an indented or hollowed-out space"
"Name the vocab term: adj. fearsome or awe-inspiring Hint: starts with “r”","redoubtable synonyms: dreadful, admirable, worthy, formidable, fearsome He was a redoubtable opponent on the chessboard."
"Fill in the blank: Her ______ advice always proved valuable. Hint: Starts with “s” and means “wise and shrewd”.","sagacious sagacious (suh-gehy-shuss) adj. very insightful or shrewd"
"Name the vocab term: adj. healthy or health-promoting Hint: starts with “s”","salubrious synonyms: beneficial, good, hygienic, healthful, wholesome The salubrious climate attracted many retirees."
"Fill in the blank: The ______ effects of exercise are well-documented. Hint: Starts with “s” and means “producing good effects”.","salutary salutary (sal-yuh-tare-ee) adj. beneficial, esp. relating to health"
"Name the vocab term: v. to fill to satisfaction Hint: starts with “s”","satiate synonyms: satisfy, stuff, gratify, fulfill, quench She hoped the meal would satiate her hunger."
"Fill in the blank: He had a ______ about lying to his friend. Hint: Starts with “s” and means “a moral hesitation”.","scruple scruple (skrew-pull) n. an ethical or moral concern v. to hesitate on moral grounds"
"Name the vocab term: adj. sitting or seated adj. tending to stay in the same place Hint: starts with “s”","sedentary synonyms: desk-bound, motionless, stationary, inactive, immobile His sedentary lifestyle contributed to his weight gain."
"Fill in the blank: The ______ at the bottom of the lake was thick and dark. Hint: Starts with “s” and means “matter that settles at the bottom of liquid”.","sediment sediment (sed-ih-munt) n. matter deposited by some natural process n. settled matter at the bottom of a liquid"
"Name the vocab term: adj. dirty or rundown adj. immoral or unethical Hint: starts with “s”","sordid synonyms: nasty, vile, corrupt, filthy, disreputable The sordid details of the affair were shocking."
"Fill in the blank: Her ______ argument failed to convince the jury. Hint: Starts with “s” and means “superficially plausible but false”.","specious specious (spee-shuss) adj. plausible but false adj. deceptively pleasing"
"Define: sporadic (spuh-rad-ik)","adj. occurring occasionally and without pattern Our vacation plans were ruined by sporadic rain that seemed to start every time we headed towards the beach. Root: spor (from Greek sporas, meaning “scattered”)"
"Define: spurious (spure-ee-us)","adj. intending to deceive adj. not valid or genuine The tabloid writers made up spurious accusations against the young actor. Root: spur (from Latin spurius, meaning “false”)"
"Define: squalor (skwol-er)","n. filth; poverty The town's poorest inhabitants live in squalor due to their inability to access clean water. Root: squal (from Latin squalere, meaning “to be filthy”)"
"Define: stark (stark)","adj. complete or extreme adj. very simple adj. bare or blunt The expensive car that he parked outside stood in stark contrast to the impoverished neighborhood surrounding it. Root: stark (from Old English stearc, meaning “stiff, strong”)"
"Define: stoic (stow-ick)","adj. indifferent to pleasure or pain n. one who is indifferent to pleasure or pain The defendant remained stoic throughout the trial despite the harshness of the prosecution's questions. Root: stoic (from Greek stoa, meaning “porch”; refers to the Stoic philosophers who taught on a porch)"
"Define: stratum (strat-um)","n. a horizontal layer of material n. a level of society composed of people with similar social, cultural, or economic status Friction between two social strata can often lead to political upheaval. Root: strat (from Latin stratum, meaning “layer”)"
"Define: stria (strahy-uh)","n. a linear mark, ridge, or groove, esp. one of a number of similar parallel features We examined the striae on the rocks to see if they were really from the same underground cave. Root: stri (from Latin stria, meaning “furrow, groove”)"
"Define: strident (strahyd-unt)","adj. unpleasantly loud and harsh Her strident voice made me dread our weekly phone conversations. Root: strid (from Latin stridere, meaning “to make a harsh noise”)"
"Define: stringent (strin-djunt)","adj. strictly controlled or enforced Since accidents on roller coasters can often be fatal, amusement parks must undergo stringent testing before being opened to the public. Root: string (from Latin stringere, meaning “to bind tightly”)"
"Define: stymie (stahy-mee)","n. a situation that defies progress or resolution v. to prevent or hinder the progress of something The guard dogs managed to stymie the thief as he tried to break into the house."
"Define: succinct (suck-singkt)","adj. brief Since there were only a few minutes left in the meeting, the final speaker had to keep his comments succinct and to the point. Prefix: sub- (from Latin, meaning “under”); Root: cinct (from Latin cingere, meaning “to gird”)"
"Define: transient (tran-zee-uhnt)","adj. not permanent adj. moving from place to place n. one who moves from place to place The transient relied on the kindness of strangers whenever he arrived in a new town. Root: trans (from Latin transire, meaning “to go across”)"
"Define: trepidation (trep-ih-dehy-shun)","n. a feeling of fear or agitation Janice had to face her trepidation about flying in order to make the trip to California. Root: trepid (from Latin trepidare, meaning “to tremble”)"
"Define: turbid (tur-bid)","adj. clouded due to sediment adj. confused I dropped my phone in the lake and couldn't find it in the turbid water. Root: turb (from Latin turbidus, meaning “confused, disordered”)"
"Define: ubiquitous (you-bick-wih-tuss)","adj. present everywhere In her neighborhood, Starbucks shops had become ubiquitous; she couldn't walk two blocks without passing one. Root: ubiquit (from Latin ubique, meaning “everywhere”)"
"Define: unfeigned (un-feynd)","adj. sincerely felt or expressed Although it seemed a ridiculous concern to us, Joyce's preoccupation with her little sister's sprained ankle was unfeigned. Prefix: un- (meaning “not”); Root: feign (from Latin fingere, meaning “to shape, invent”)"
"Define: unimpeachable (un-im-pee-chuh-bull)","adj. beyond doubt or suspicion To win the case, the defense would need an unimpeachable witness to prove their client's virtuous character. Prefix: un- (meaning “not”); Root: impeach (from Latin impedicare, meaning “to entangle”)"
"Define: untenable (un-ten-ih-bull)","adj. impossible to maintain or defend, as of an opinion Kate is argumentative enough to support even the most untenable positions. Prefix: un- (meaning “not”); Root: ten (from Latin tenere, meaning “to hold”)"
"Define: vacillate (vass-ih-lehyt)","v. to waver between conflicting positions Both sides made such convincing arguments that the judge vacillated between them for days before coming to a decision. Root: vacill (from Latin vacillare, meaning “to sway to and fro”)"
"Define: vacuous (vak-yoo-us)","adj. devoid of significance or matter; empty adj. lacking serious purpose or occupation I told him pointedly to stop wasting my time with his vacuous comments. Root: vac (from Latin vacuus, meaning “empty”)"
"Name the vocab term: adj. occurring occasionally and without pattern Hint: starts with “s”","sporadic synonyms: random, scattered, seldom, intermittent, occasional The sporadic rain made planning difficult."
"Fill in the blank: The ______ claims were quickly debunked. Hint: Starts with “s” and means “false or not genuine”.","spurious spurious (spure-ee-us) adj. intending to deceive adj. not valid or genuine"
"Name the vocab term: n. filth; poverty Hint: starts with “s”","squalor synonyms: dirtiness, destitution, filth, misery, deprivation They lived in squalor, struggling to make ends meet."
"Fill in the blank: The ______ contrast between rich and poor was evident. Hint: Starts with “s” and means “severe or bare in appearance”.","stark stark (stark) adj. complete or extreme adj. very simple adj. bare or blunt"
"Name the vocab term: adj. indifferent to pleasure or pain n. one who is indifferent to pleasure or pain Hint: starts with “s”","stoic synonyms: apathetic, detached, impassive, indifferent, unemotional The stoic soldier bore his injuries without complaint. The stoic remained calm during the chaos, showing no signs of distress."
"Fill in the blank: Archaeologists studied the ______ to understand past civilizations. Hint: Starts with “s” and means “a layer or level”.","stratum stratum (strat-um) n. a horizontal layer of material n. a level of society composed of people with similar social, cultural, or economic status"
"Name the vocab term: n. a linear mark, ridge, or groove, esp. one of a number of similar parallel features Hint: starts with “s”","stria synonyms: banding, groove, stripe, line, marking The striae on the surface revealed the rock's history."
"Fill in the blank: Her ______ voice carried over the crowd. Hint: Starts with “s” and means “harsh and loud”.","strident strident (strahyd-unt) adj. unpleasantly loud and harsh"
"Name the vocab term: adj. strictly controlled or enforced Hint: starts with “s”","stringent synonyms: binding, strict, rigorous, severe, exacting The stringent regulations ensured safety at the event."
"Fill in the blank: The ongoing conflict created a ______ for negotiations. Hint: Starts with “s” and means “to block or hinder”.","stymie stymie (stahy-mee) n. a situation that defies progress or resolution v. to prevent or hinder the progress of something"
"Name the vocab term: adj. brief Hint: starts with “s”","succinct synonyms: blunt, compact, brief, concise, terse Her succinct explanation clarified the complex topic."
"Fill in the blank: The ______ nature of his job meant he frequently relocated. Hint: Starts with “t” and means “lasting only a short time”.","transient transient (tran-zee-uhnt) adj. not permanent adj. moving from place to place n. one who moves from place to place"
"Name the vocab term: n. a feeling of fear or agitation Hint: starts with “t”","trepidation synonyms: anxiety, worry, apprehension, fear, unease He approached the stage with trepidation before his performance."
"Fill in the blank: The ______ waters made it difficult to see the bottom. Hint: Starts with “t” and means “cloudy or unclear”.","turbid turbid (tur-bid) adj. clouded due to sediment adj. confused"
"Name the vocab term: adj. present everywhere Hint: starts with “u”","ubiquitous synonyms: everywhere, omnipresent, pervasive, universal, all-over Smartphones have become ubiquitous in modern society."
"Fill in the blank: Her ______ gratitude was evident in her warm smile. Hint: Starts with “u” and means “genuine and sincere”.","unfeigned unfeigned (un-feynd) adj. sincerely felt or expressed"
"Name the vocab term: adj. beyond doubt or suspicion Hint: starts with “u”","unimpeachable synonyms: blameless, spotless, immaculate, irreproachable, undeniable The witness's unimpeachable testimony helped secure the verdict."
"Fill in the blank: Their argument became ______ after the new evidence emerged. Hint: Starts with “u” and means “not defensible or sustainable”.","untenable untenable (un-ten-ih-bull) adj. impossible to maintain or defend, as of an opinion"
"Name the vocab term: v. to waver between conflicting positions Hint: starts with “v”","vacillate synonyms: fluctuate, hesitate, to be unsure, waver, dither She began to vacillate between two job offers, unsure of which to choose."
"Fill in the blank: His ______ remarks contributed nothing to the discussion. Hint: Starts with “v” and means “lacking thought or intelligence”.","vacuous vacuous (vak-yoo-us) adj. devoid of significance or matter; empty adj. lacking serious purpose or occupation"
"Define: vociferous (voe-siff-er-uss)","adj. loud and insistent, esp. to compel attention The vociferous mob gathered outside the store and awakened its owner. Prefix: voc (from Latin vox, meaning “voice” or “call”); Suffix: -ferous (from Latin -fer, meaning “bearing” or “carrying”)"
"Define: wanderlust (wawn-der-lust)","n. the desire to travel A sudden feeling of wanderlust encouraged me to pack my bags and head to Mexico. Root: wander (from Old English wandrian, meaning “to roam”); Suffix: -lust (from German Lust, meaning “desire” or “pleasure”)"
"Define: wheedle (weed-ul)","v. to coax or persuade Eventually the ice-cream truck driver was wheedled into giving the sullen child a free scoop. Root: wheedle (of uncertain origin, possibly related to Old English wǣdlian, meaning “to beg”)"
"Define: volatile (voll-ih-tull)","adj. likely to change suddenly adj. liable to lead to violence adj. evaporating easily The situation in the war-torn country soon became too volatile for most reporters and travelers to stay there safely. Root: vola (from Latin volare, meaning “to fly”); Suffix: -tile (from Latin -tilis, indicating capability or tendency)"
"Define: zenith (zee-nith)","n. the highest point or peak n. the point directly above one's head Climbing to the zenith of the mountain will be difficult, but it has been a dream of mine since childhood. Root: zenith (from Arabic samt, meaning “path” or “way”)"
"Define: abjure (ab-djoor)","v. to renounce or reject solemnly; to recant or avoid The monks had to abjure all indulgences. Prefix: ab- (from Latin, meaning “away from”); Root: jur (from Latin jurare, meaning “to swear”)"
"Define: condign (kon-dahyn)","adj. deserved, adequate Though I believe I am compassionate, I will not hesitate to mete out a condign punishment to wrongdoers. Prefix: con- (from Latin, meaning “with” or “together”); Root: dign (from Latin dignus, meaning “worthy”)"
"Define: debonair (deb-uh-nair)","adj. suave, urbane, affable, genial, charming,stylish The ladies were all drawn to the debonair newcomer. Prefix: de- (from Latin, meaning “of” or “from”); Root: bon (from Latin bonus, meaning “good”); Suffix: -air (from Old French, meaning “nature” or “disposition”)"
"Define: inveigle (in-vey-guhl)","v. to obtain by deception or flattery He inveigled the information from the president's wife. Root: inveigle (from Old French avugler, meaning “to blind”)"
"Define: philistine (fil-uh-steen)","adj. barbaric; lacking culture n. an individual guided by commonplace, rather than artistic or intellectual, values Why, the philistine even declared that he hated the theater! Root: philistine (from Late Latin Philistinus, referring to a member of the Philistines, an ancient people)"
"Define: suffuse (suh-fyooz)","v. to spread through or over something, as with liquid, color, or light The sky was suffused with deep colors. Prefix: suf- (variant of sub-, from Latin, meaning “under” or “below”); Root: fuse (from Latin fundere, meaning “to pour”)"
"Define: mettlesome (met-uhl-sum)","adj. courageous, high-spirited The mettlesome police officer saved the hostage. Root: mettle (variant of metal, meaning “spirit” or “courage”); Suffix: -some (from Old English, indicating possession of a quality)"
"Define: compunction (kuhm-punk-shun)","n. hesitation or unease at committing (or having committed) an act A hardened criminal usually has no compunction about hurting bystanders in order to evade the police. Prefix: com- (from Latin, meaning “with” or “together”); Root: punct (from Latin pungere, meaning “to prick”); Suffix: -ion (from Latin, indicating an action or condition)"
"Define: contravene (kon-truh-veen)","v. to violate, or to conflict with a rule or principle Until recently, Americans could not visit that country without contravening federal law. Prefix: contra- (from Latin, meaning “against”); Root: vene (from Latin venire, meaning “to come”)"
"Define: limn (lim)","v. to draw; to describe; to depict Here, the philosopher limns a basic theory of just governance. Root: limn (from Middle English limnen, meaning “to illuminate” or “to depict”)"
"Define: obloquy (ob-luh-kwee)","n. abusive language; damage to one's reputation; disgrace The president earned obloquy for his tax hikes. Prefix: ob- (from Latin, meaning “against”); Root: loqu (from Latin loqui, meaning “to speak”)"
"Define: abate (uh-behyt)","v. to decrease in intensity The ferocity of the fighting has started to abate, though the civilian population is still in great danger. Prefix: ab- (from Latin, meaning “away from”); Root: bate (from Old French batre, meaning “to beat”)"
"Define: abdicate (ab-dih-kate)","v. to willingly let go of; to relinquish The king abdicated the throne rather than expose his nation to a potentially crippling civil war. Prefix: ab- (from Latin, meaning “away from”); Root: dic (from Latin dicare, meaning “to proclaim”)"
"Define: aberrant (ab-buh-runt)","adj. abnormal, deviating from the norm The aberrant accounting numbers led officials to conclude that a crime had been committed. Prefix: ab- (from Latin, meaning “away from”); Root: err (from Latin errare, meaning “to wander”)"
"Define: abrade (uh-brehyd)","v. to erode or rub away The statue's hand was abraded from all of the tourists rubbing it for luck. Prefix: ab- (from Latin, meaning “away from”); Root: rade (from Latin radere, meaning “to scrape”)"
"Name the vocab term: adj. loud and insistent, esp. to compel attention Hint: starts with “v”","vociferous synonyms: clamorous, noisy, distracting, boisterous, uproarious The vociferous crowd demanded answers from the officials."
"Fill in the blank: Her ______ led her to explore new countries every year. Hint: Starts with “w” and means “a strong desire to travel”.","wanderlust wanderlust (wawn-der-lust) n. the desire to travel"
"Name the vocab term: v. to coax or persuade Hint: starts with “w”","wheedle synonyms: to influence through flattery, to entice, coax, persuade He tried to wheedle his way into getting a free meal."
"Fill in the blank: The political climate became increasingly ______ as tensions rose between the opposing factions. Hint: Starts with “v” and means “likely to change suddenly”.","volatile volatile (voll-ih-tull) adj. likely to change suddenly adj. liable to lead to violence adj. evaporating easily"
"Name the vocab term: n. the highest point or peak n. the point directly above one's head Hint: starts with “z”","zenith synonyms: acme, summit, pinnacle, peak, apex Reaching the zenith of her career, she was celebrated worldwide."
"Fill in the blank: He chose to ______ his previous beliefs in favor of a new philosophy. Hint: Starts with “a” and means “to formally renounce”.","abjure abjure (ab-djoor) v. to renounce or reject solemnly; to recant or avoid"
